car_name,measurement_data_id,measurement_datetime,measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,real_time_utc,real_time_jst,real_time_jst_ms,real_time_utc_ms
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595454,37.505785,139.928607,2,0.371,0.625,9.829,2016-03-15 05:43:15.454000+00:00,2016-03-15 14:43:15.454000+09:00,2016-03-15 14:43:15.454,2016-03-15 05:43:15.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595554,37.505785,139.928607,2,0.368,0.62,9.846,2016-03-15 05:43:15.554000+00:00,2016-03-15 14:43:15.554000+09:00,2016-03-15 14:43:15.554,2016-03-15 05:43:15.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595654,37.505785,139.928607,2,0.355,0.623,9.833,2016-03-15 05:43:15.654000+00:00,2016-03-15 14:43:15.654000+09:00,2016-03-15 14:43:15.654,2016-03-15 05:43:15.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595754,37.505785,139.928607,2,0.345,0.615,9.85,2016-03-15 05:43:15.754000+00:00,2016-03-15 14:43:15.754000+09:00,2016-03-15 14:43:15.754,2016-03-15 05:43:15.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595854,37.505785,139.928607,2,0.351,0.608,9.81,2016-03-15 05:43:15.854000+00:00,2016-03-15 14:43:15.854000+09:00,2016-03-15 14:43:15.854,2016-03-15 05:43:15.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595954,37.505785,139.928607,2,0.358,0.613,9.822,2016-03-15 05:43:15.954000+00:00,2016-03-15 14:43:15.954000+09:00,2016-03-15 14:43:15.954,2016-03-15 05:43:15.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596054,37.505785,139.928607,2,0.36,0.601,9.834,2016-03-15 05:43:16.054000+00:00,2016-03-15 14:43:16.054000+09:00,2016-03-15 14:43:16.054,2016-03-15 05:43:16.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596154,37.505785,139.928607,2,0.356,0.61,9.839,2016-03-15 05:43:16.154000+00:00,2016-03-15 14:43:16.154000+09:00,2016-03-15 14:43:16.154,2016-03-15 05:43:16.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596254,37.505785,139.928607,2,0.353,0.616,9.848,2016-03-15 05:43:16.254000+00:00,2016-03-15 14:43:16.254000+09:00,2016-03-15 14:43:16.254,2016-03-15 05:43:16.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596354,37.505785,139.928607,2,0.346,0.611,9.856,2016-03-15 05:43:16.354000+00:00,2016-03-15 14:43:16.354000+09:00,2016-03-15 14:43:16.354,2016-03-15 05:43:16.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596454,37.505785,139.928607,2,0.345,0.618,9.848,2016-03-15 05:43:16.454000+00:00,2016-03-15 14:43:16.454000+09:00,2016-03-15 14:43:16.454,2016-03-15 05:43:16.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596554,37.505785,139.928607,2,0.349,0.616,9.877,2016-03-15 05:43:16.554000+00:00,2016-03-15 14:43:16.554000+09:00,2016-03-15 14:43:16.554,2016-03-15 05:43:16.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596654,37.505785,139.928607,2,0.36,0.622,9.859,2016-03-15 05:43:16.654000+00:00,2016-03-15 14:43:16.654000+09:00,2016-03-15 14:43:16.654,2016-03-15 05:43:16.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596754,37.505785,139.928607,2,0.366,0.63,9.874,2016-03-15 05:43:16.754000+00:00,2016-03-15 14:43:16.754000+09:00,2016-03-15 14:43:16.754,2016-03-15 05:43:16.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596854,37.505785,139.928607,2,0.355,0.623,9.868,2016-03-15 05:43:16.854000+00:00,2016-03-15 14:43:16.854000+09:00,2016-03-15 14:43:16.854,2016-03-15 05:43:16.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596954,37.505785,139.928607,2,0.349,0.627,9.854,2016-03-15 05:43:16.954000+00:00,2016-03-15 14:43:16.954000+09:00,2016-03-15 14:43:16.954,2016-03-15 05:43:16.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597054,37.505785,139.928607,2,0.337,0.617,9.889,2016-03-15 05:43:17.054000+00:00,2016-03-15 14:43:17.054000+09:00,2016-03-15 14:43:17.054,2016-03-15 05:43:17.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597154,37.505785,139.928607,2,0.355,0.616,9.805,2016-03-15 05:43:17.154000+00:00,2016-03-15 14:43:17.154000+09:00,2016-03-15 14:43:17.154,2016-03-15 05:43:17.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597254,37.505785,139.928607,2,0.358,0.623,9.846,2016-03-15 05:43:17.254000+00:00,2016-03-15 14:43:17.254000+09:00,2016-03-15 14:43:17.254,2016-03-15 05:43:17.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597354,37.505785,139.928607,2,0.361,0.607,9.836,2016-03-15 05:43:17.354000+00:00,2016-03-15 14:43:17.354000+09:00,2016-03-15 14:43:17.354,2016-03-15 05:43:17.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597454,37.505785,139.928607,2,0.359,0.625,9.845,2016-03-15 05:43:17.454000+00:00,2016-03-15 14:43:17.454000+09:00,2016-03-15 14:43:17.454,2016-03-15 05:43:17.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597554,37.505785,139.928607,2,0.345,0.622,9.849,2016-03-15 05:43:17.554000+00:00,2016-03-15 14:43:17.554000+09:00,2016-03-15 14:43:17.554,2016-03-15 05:43:17.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597654,37.505785,139.928607,2,0.353,0.625,9.83,2016-03-15 05:43:17.654000+00:00,2016-03-15 14:43:17.654000+09:00,2016-03-15 14:43:17.654,2016-03-15 05:43:17.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597794,37.505785,139.928607,2,0.352,0.627,9.828,2016-03-15 05:43:17.794000+00:00,2016-03-15 14:43:17.794000+09:00,2016-03-15 14:43:17.794,2016-03-15 05:43:17.794
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597854,37.505785,139.928607,2,0.35,0.629,9.837,2016-03-15 05:43:17.854000+00:00,2016-03-15 14:43:17.854000+09:00,2016-03-15 14:43:17.854,2016-03-15 05:43:17.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597954,37.505785,139.928607,2,0.351,0.627,9.825,2016-03-15 05:43:17.954000+00:00,2016-03-15 14:43:17.954000+09:00,2016-03-15 14:43:17.954,2016-03-15 05:43:17.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598054,37.505785,139.928607,2,0.347,0.631,9.855,2016-03-15 05:43:18.054000+00:00,2016-03-15 14:43:18.054000+09:00,2016-03-15 14:43:18.054,2016-03-15 05:43:18.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598154,37.505785,139.928607,2,0.342,0.623,9.851,2016-03-15 05:43:18.154000+00:00,2016-03-15 14:43:18.154000+09:00,2016-03-15 14:43:18.154,2016-03-15 05:43:18.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598254,37.505785,139.928607,2,0.352,0.634,9.822,2016-03-15 05:43:18.254000+00:00,2016-03-15 14:43:18.254000+09:00,2016-03-15 14:43:18.254,2016-03-15 05:43:18.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598354,37.505785,139.928607,2,0.352,0.627,9.857,2016-03-15 05:43:18.354000+00:00,2016-03-15 14:43:18.354000+09:00,2016-03-15 14:43:18.354,2016-03-15 05:43:18.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598454,37.505785,139.928607,2,0.362,0.622,9.797,2016-03-15 05:43:18.454000+00:00,2016-03-15 14:43:18.454000+09:00,2016-03-15 14:43:18.454,2016-03-15 05:43:18.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598554,37.505785,139.928607,2,0.357,0.629,9.852,2016-03-15 05:43:18.554000+00:00,2016-03-15 14:43:18.554000+09:00,2016-03-15 14:43:18.554,2016-03-15 05:43:18.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598654,37.505785,139.928607,2,0.347,0.612,9.838,2016-03-15 05:43:18.654000+00:00,2016-03-15 14:43:18.654000+09:00,2016-03-15 14:43:18.654,2016-03-15 05:43:18.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598754,37.505785,139.928607,2,0.35,0.622,9.835,2016-03-15 05:43:18.754000+00:00,2016-03-15 14:43:18.754000+09:00,2016-03-15 14:43:18.754,2016-03-15 05:43:18.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598854,37.505785,139.928607,2,0.351,0.617,9.838,2016-03-15 05:43:18.854000+00:00,2016-03-15 14:43:18.854000+09:00,2016-03-15 14:43:18.854,2016-03-15 05:43:18.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020598954,37.505785,139.928607,2,0.359,0.611,9.801,2016-03-15 05:43:18.954000+00:00,2016-03-15 14:43:18.954000+09:00,2016-03-15 14:43:18.954,2016-03-15 05:43:18.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599054,37.505785,139.928607,2,0.359,0.616,9.809,2016-03-15 05:43:19.054000+00:00,2016-03-15 14:43:19.054000+09:00,2016-03-15 14:43:19.054,2016-03-15 05:43:19.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599154,37.505785,139.928607,2,0.353,0.613,9.82,2016-03-15 05:43:19.154000+00:00,2016-03-15 14:43:19.154000+09:00,2016-03-15 14:43:19.154,2016-03-15 05:43:19.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599254,37.505785,139.928607,2,0.354,0.611,9.832,2016-03-15 05:43:19.254000+00:00,2016-03-15 14:43:19.254000+09:00,2016-03-15 14:43:19.254,2016-03-15 05:43:19.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599354,37.505785,139.928607,2,0.349,0.617,9.834,2016-03-15 05:43:19.354000+00:00,2016-03-15 14:43:19.354000+09:00,2016-03-15 14:43:19.354,2016-03-15 05:43:19.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599454,37.505785,139.928607,2,0.345,0.609,9.848,2016-03-15 05:43:19.454000+00:00,2016-03-15 14:43:19.454000+09:00,2016-03-15 14:43:19.454,2016-03-15 05:43:19.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599554,37.505785,139.928607,2,0.347,0.62,9.857,2016-03-15 05:43:19.554000+00:00,2016-03-15 14:43:19.554000+09:00,2016-03-15 14:43:19.554,2016-03-15 05:43:19.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599654,37.505785,139.928607,2,0.352,0.609,9.894,2016-03-15 05:43:19.654000+00:00,2016-03-15 14:43:19.654000+09:00,2016-03-15 14:43:19.654,2016-03-15 05:43:19.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599754,37.505785,139.928607,2,0.355,0.605,9.826,2016-03-15 05:43:19.754000+00:00,2016-03-15 14:43:19.754000+09:00,2016-03-15 14:43:19.754,2016-03-15 05:43:19.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599854,37.505785,139.928607,2,0.354,0.609,9.848,2016-03-15 05:43:19.854000+00:00,2016-03-15 14:43:19.854000+09:00,2016-03-15 14:43:19.854,2016-03-15 05:43:19.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020599954,37.505785,139.928607,2,0.347,0.599,9.846,2016-03-15 05:43:19.954000+00:00,2016-03-15 14:43:19.954000+09:00,2016-03-15 14:43:19.954,2016-03-15 05:43:19.954
