value,tag,count
5,step_count,5
3,width,5
designated,bus,5
no,tunnel,5
tertiary,construction,5
yes,air_conditioning,5
yes,button_operated,5
yes,handrail:right,5
yes,horse,5
yes,man_made,5
yes,nohousenumber,5
yes,office,5
yes,payment:PayPay,5
yes,payment:icsf,5
yes,ramp:handrail,5
yes,service:bicycle:pump,5
yes,steps,5
2,capacity:disabled,4
2,roof:height,4
8,heritage,4
3,height,4
apartments,removed:building,4
no,bath:sand_bath,4
path,construction,4
service,demolished:highway,4
surface,bicycle_parking,4
yes,assembly_point:flood,4
yes,crossing:island,4
yes,internet_access,4
yes,passenger_information_display,4
2,admin_level,3
2,building:levels:underground,3
2,maxweight,3
3,capacity:disabled,3
3,maxheight,3
4,railway:track_ref,3
5,railway:track_ref,3
6,railway:track_ref,3
6,width,3
7,railway:track_ref,3
2,name,3
designated,taxi,3
footway,construction,3
footway,disused,3
no,cycleway:left:segregated,3
no,indoor,3
no,shoulder,3
no,stroller,3
private,motorcar,3
service,construction,3
service,disused:highway,3
yes,construction,3
yes,footway,3
yes,handrail:left,3
yes,informal,3
yes,noexit,3
yes,outdoor_seating,3
yes,payment:american_express,3
yes,payment:coins,3
yes,payment:diners_club,3
yes,payment:jcb,3
yes,repair,3
yes,smoking,3
yes,takeaway:covid19,3
-1,lay,2
0,KSJ2:BDC,2
1,hoops,2
1,isced:level,2
1,lanes:backward,2
2,lanes:forward,2
3,KSJ2:DFC,2
3,building:levels:underground,2
3,ref,2
3,stars,2
4,addr:neighbourhood,2
4,building:levels:underground,2
4,ref,2
5,addr:neighbourhood,2
6,addr:neighbourhood,2
6,min_height,2
7,heritage,2
7,ref,2
8,building:min_level,2
8,railway:track_ref,2
apartments,planned:building,2
apartments,was:building,2
detached,building:part,2
detached,construction,2
detached,was:building,2
house,demolished:building,2
industrial,construction,2
local knowledge,source:geometry,2
local knowledge,source_1,2
no,cycleway:right,2
no,dispensing,2
no,emergency,2
no,name:signed,2
no,power_supply,2
no,psv,2
no,ramp:stroller,2
no,toilets,2
parking,construction,2
parking,planned:amenity,2
path,footway,2
private,bicycle,2
rail,proposed,2
residential,highway_1,2
retail,building_1,2
surface,location,2
unclassified,abandoned:highway,2
unclassified,construction,2
yes,boat,2
yes,buildingpart,2
yes,crop,2
yes,currency:JPY,2
yes,electrified,2
yes,escalator,2
yes,floating,2
yes,fuel:diesel,2
yes,fuel:octane_91,2
yes,fuel:octane_98,2
yes,handrail:center,2
yes,hgv,2
yes,parking,2
yes,payment:prepaid_ticket,2
yes,private,2
yes,recycling:books,2
yes,recycling:cardboard,2
yes,recycling:magazines,2
yes,recycling:newspaper,2
yes,recycling:paper,2
yes,recycling:paper_packaging,2
yes,sale,2
yes,service:bicycle:repair,2
yes,service:bicycle:retail,2
yes,stairs,2
yes,waterway,2
0,building:min_level,1
0,capacity:disabled,1
0,height,1
1,building:level,1
1,building:levels_1,1
1,building:min_levels,1
1,lanes:forward,1
1,local_ref,1
1,maxheight,1
1,seats,1
1,step_count,1
1,yh:WIDTH_RANK,1
2,building:level,1
2,demolished:building:levels,1
2,lanes:backward,1
2,local_ref,1
2,min_level,1
2,nat_ref,1
3,building:min_level,1
3,building:min_levels,1
3,circuits,1
3,ele,1
3,local_ref,1
3,rooms,1
4,floor,1
4,local_ref,1
5,building:levels:underground,1
5,building:min_level,1
5,level,1
5,local_ref,1
5,min_height,1
6,capacity:disabled,1
6,circuits,1
6,step_count,1
7,addr:block:en,1
7,addr:unit,1
7,capacity:disabled,1
7,length,1
7,level,1
7,width,1
8,beds,1
8,circuits,1
8,step_count,1
8,width,1
2,step_count,1
3,branch,1
3,destination:ref,1
3,name,1
"Bing, 2010",source:geometry,1
GSImaps/ort,source:ge,1
GSImaps/std,source:ge,1
alley,footway,1
alley,residential,1
apartments,abandoned:building,1
apartments,proposed:building,1
asphalt,landcover,1
designated,designated,1
detached,demolished:building,1
house,historic,1
house,was:building,1
no,bath:open_air,1
no,bridge,1
no,building:prefabricated,1
no,bus,1
no,capacity:disabled,1
no,capacity:parent,1
no,capacity:women,1
no,crossing:markings,1
no,designated,1
no,female,1
no,fireplace,1
no,handrail:left,1
no,handrail:right,1
no,highspeed,1
no,lock,1
no,lockable,1
no,male,1
no,opening_hours:signed,1
no,ramp:bicycle,1
no,ramp:luggage,1
no,reservation,1
no,self_service,1
no,sidewalk:left:kerb,1
no,trolley_wire,1
parking,building:part,1
parking,proposed,1
parking,removed:amenity,1
parking,was:amenity,1
path,disused,1
path,disused:highway,1
private,garden:type,1
private,horse,1
rail,abandoned:railway,1
residential,disused:highway,1
residential,disused:landuse,1
residential,removed:building,1
retail,demolished:building,1
retail,planned:building,1
service,planned:highway,1
steps,disused:highway,1
surface,disused:parking,1
yes,assembly_point:earthquake,1
yes,automated,1
yes,bath:open_air,1
yes,building:roof,1
yes,closed,1
yes,craft,1
yes,delivery:covid19,1
yes,diet:meat,1
yes,disused:building,1
yes,elevator,1
yes,embassy,1
yes,fixme,1
yes,ford,1
yes,fuel:kerosene,1
