serial number,year,date,time,accident details,route,accident type,party 1,party 2,Party 3,Party 4,Party 5,latitude,longitude,elementary school district,dead
425,H30,3/4/2018,20:04,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.79509889,135.416355,,
426,H30,3/6/2018,17:50,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.78478694,135.3779511,,
427,H30,3/7/2018,15:45,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78887389,135.3789239,,
428,H30,3/8/2018,18:17,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.76453194,135.39563,,
429,H30,3/9/2018,13:55,軽傷事故,一般市道,追い越し時,自動車,自転車,,,,34.79045194,135.4003511,,
430,H30,3/9/2018,15:15,重傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79707694,135.41139,,
431,H30,3/12/2018,21:10,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.78081111,135.4152411,,
432,H30,3/13/2018,10:50,軽傷事故,県道寺本伊丹線,右折時,自動車,自転車,,,,34.78122694,135.4097381,,
433,H30,3/14/2018,16:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.80910694,135.3765519,,
434,H30,3/15/2018,11:20,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76857889,135.4097517,,
435,H30,3/16/2018,8:25,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.77474306,135.3943181,,
436,H30,3/17/2018,15:40,軽傷事故,県道山本伊丹線,右折時,自動車,自転車,,,,34.78908833,135.4062522,,
437,H30,3/20/2018,7:55,軽傷事故,県道尼崎池田線,その他,不明,自転車,,,,34.78064778,135.4179475,,
438,H30,3/20/2018,8:10,重傷事故,県道米谷昆陽尼崎線,その他,不明,自転車,,,,34.78841944,135.3909117,,
439,H30,3/21/2018,13:15,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.7976,135.4266169,,
440,H30,3/21/2018,18:50,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.79884889,135.4208869,,
441,H30,3/23/2018,12:00,軽傷事故,国道171号,出合い頭,自転車,自動車,,,,34.77536111,135.386825,,
442,H30,3/23/2018,16:43,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79866194,135.4193819,,
443,H30,3/24/2018,11:00,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77687389,135.4174561,,
444,H30,3/26/2018,14:25,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.76294306,135.3982619,,
445,H30,3/27/2018,16:20,軽傷事故,県道中野中筋線,右折時,自動車,自転車,,,,34.79212806,135.3836231,,
446,H30,3/27/2018,19:25,重傷事故,県道伊丹停車場線,出合い頭,自転車,二輪車,,,,34.77928583,135.4123533,,
447,H30,3/29/2018,15:40,軽傷事故,県道寺本伊丹線,出合い頭,自動車,自転車,,,,34.77890111,135.3996089,,
448,H30,3/29/2018,19:10,重傷事故,一般市道,右折時,自動車,自転車,,,,34.761685,135.3987597,,
449,H30,3/30/2018,8:53,軽傷事故,県道東富松御願塚線,出合い頭,自動車,自転車,,,,34.76629,135.4151267,,
450,H30,4/1/2018,7:00,軽傷事故,県道寺本伊丹線,出合い頭,不明,自転車,,,,34.78285694,135.4170089,,
451,H30,4/2/2018,14:50,軽傷事故,一般市道,車両相互,自動車,自転車,,,,34.78895,135.38907,,
452,H30,4/4/2018,15:50,重傷事故,国道171号,左折時,自動車,自転車,,,,34.78242806,135.397035,,
453,H30,4/5/2018,8:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79061806,135.4057183,,
454,H30,4/5/2018,12:50,軽傷事故,県道寺本伊丹線,車両相互,不明,自転車,,,,34.77697889,135.3916381,,
455,H30,3/30/2018,19:50,軽傷事故,県道姥ケ茶屋伊丹線,出合い頭,不明,自転車,,,,34.78978361,135.4053803,,
456,H30,3/25/2018,21:15,軽傷事故,県道尼崎宝塚線,単独事故,自転車,歩行者,,,,34.77009806,135.3851089,,
457,H30,4/6/2018,13:30,軽傷事故,県道尼崎池田線,出合い頭,自転車,不明,,,,34.768405,135.42015,,
458,H30,4/6/2018,21:05,軽傷事故,国道171号,右折時,不明,自転車,,,,34.77385111,135.38467,,
459,H30,4/6/2018,21:40,軽傷事故,一般市道,正面衝突,不明,自転車,,,,34.77445167,135.3956969,,
460,H30,4/7/2018,7:35,軽傷事故,県道尼崎池田線,出合い頭,自転車,自動車,,,,34.79255806,135.4166081,,
461,H30,4/4/2018,19:05,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76495056,135.3968731,,
462,H30,4/8/2018,7:30,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.78976917,135.3748992,,
463,H30,4/9/2018,7:53,軽傷事故,県道尼崎宝塚線,出合い頭,自動車,自転車,,,,34.78338111,135.3842861,,
464,H30,4/10/2018,17:25,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自転車,自動車,,,,34.79268194,135.3879161,,
465,H30,4/10/2018,18:25,軽傷事故,一般市道,すれ違い時,不明,自転車,,,,34.78793694,135.4146011,,
466,H30,4/11/2018,13:15,軽傷事故,県道中野中筋線,右折時,自動車,自転車,,,,34.79773111,135.3877789,,
467,H30,4/12/2018,8:00,重傷事故,一般市道,出合い頭,自転車,不明,,,,34.76129694,135.3986989,,
468,H30,4/14/2018,10:12,軽傷事故,一般県道,右折時,自動車,自転車,,,,34.78251194,135.401605,,
469,H30,4/10/2018,10:40,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.76954389,135.4120039,,
470,H30,4/15/2018,23:00,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.78419806,135.413865,,
471,H30,4/16/2018,13:40,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77088889,135.3881111,,
472,H30,4/16/2018,18:10,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76954972,135.4130092,,
473,H30,4/17/2018,16:30,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.783755,135.3825081,,
474,H30,4/17/2018,22:25,軽傷事故,県道米谷昆陽尼崎線,追い越し時,自転車,自動車,,,,34.76105806,135.41177,,
475,H30,4/18/2018,20:45,軽傷事故,一般市道,すれ違い時,自動車,自転車,,,,34.77453889,135.3876019,,
476,H30,4/20/2018,13:25,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.80309111,135.39332,,
477,H30,4/22/2018,9:21,軽傷事故,国道171号,左折時,自動車,自転車,,,,34.78653694,135.4020789,,
478,H30,4/24/2018,0:50,軽傷事故,県道尼崎宝塚線,出合い頭,自動車,自転車,,,,34.78394694,135.3841989,,
479,H30,4/24/2018,21:30,軽傷事故,一般市道,人対車両,自転車,歩行者,,,,34.80528389,135.3972478,,
480,H30,4/25/2018,7:15,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79123694,135.4047719,,
481,H30,4/25/2018,7:10,軽傷事故,県道尼崎池田線,左折時,不明,自転車,,,,34.79097889,135.4170439,,
482,H30,4/27/2018,19:50,軽傷事故,県道尼崎宝塚線,出合い頭,自動車,自転車,,,,34.77745111,135.3833669,,
483,H30,4/28/2018,19:20,軽傷事故,県道寺本伊丹線,出合い頭,自動車,自転車,,,,34.77751306,135.3938581,,
484,H30,4/29/2018,6:30,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.77412333,135.3846817,,
485,H30,4/29/2018,18:20,軽傷事故,一般市道,人対車両,自転車,歩行者,歩行者,,,34.76296722,135.3987083,,
486,H30,4/30/2018,15:15,軽傷事故,県道尼崎宝塚線,すれ違い時,自転車,自転車,,,,34.77948556,135.384485,,
487,H30,5/1/2018,10:40,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.78730306,135.38618,,
488,H30,5/1/2018,8:00,軽傷事故,一般市道,人対車両,自転車,歩行者,,,,34.78222389,135.39723,,
489,H30,5/2/2018,19:53,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79568611,135.3968311,,
490,H30,5/6/2018,9:28,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79269306,135.40144,,
491,H30,5/8/2018,11:05,軽傷事故,県道姥ケ茶屋伊丹線,出合い頭,自動車,自転車,,,,34.79350194,135.3946611,,
492,H30,5/8/2018,7:55,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78901167,135.3741789,,
493,H30,5/8/2018,8:25,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.76705306,135.4060631,,
494,H30,5/11/2018,15:31,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.780345,135.4145464,,
495,H30,5/11/2018,18:55,軽傷事故,県道米谷昆陽尼崎線,人対車両,自転車,歩行者,,,,34.79140194,135.3888589,,
496,H30,5/12/2018,9:00,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.77408694,135.412905,,
497,H30,5/12/2018,9:45,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77167111,135.3934019,,
498,H30,5/13/2018,10:15,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.81408694,135.385115,,
499,H30,5/15/2018,9:12,軽傷事故,県道山本伊丹線,右折時,自動車,自転車,,,,34.77540611,135.4106739,,
500,H30,5/16/2018,16:57,軽傷事故,一般市道,車両相互,自転車,自転車,,,,34.77295806,135.3961361,,
501,H30,5/17/2018,13:15,軽傷事故,県道伊丹停車場線,人対車両,自転車,歩行者,,,,34.77930111,135.4135589,,
502,H30,5/17/2018,16:00,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.79101944,135.4126764,,
503,H30,5/18/2018,7:50,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.78914889,135.3971631,,
504,H30,5/18/2018,20:13,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78439,135.4115319,,
505,H30,5/15/2018,7:50,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自動車,自転車,,,,34.77394111,135.4026719,,
506,H30,5/19/2018,11:00,軽傷事故,一般市道,車両相互,自動車,自転車,,,,34.77268111,135.3859811,,
507,H30,5/20/2018,13:58,軽傷事故,県道姥ケ茶屋伊丹線,出合い頭,不明,自転車,,,,34.79587,135.39051,,
508,H30,5/21/2018,16:40,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79877611,135.3941219,,
509,H30,5/22/2018,11:15,軽傷事故,県道尼崎池田線,左折時,自動車,自転車,,,,34.76682889,135.4204239,,
510,H30,5/22/2018,14:15,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.76742806,135.4167719,,
511,H30,5/23/2018,7:10,軽傷事故,県道寺本伊丹線,左折時,自動車,自転車,,,,34.78146889,135.4113461,,
512,H30,5/23/2018,7:18,軽傷事故,県道中野中筋線,出合い頭,自動車,自転車,,,,34.80749806,135.3826639,,
513,H30,5/24/2018,8:01,軽傷事故,県道尼崎池田線,出合い頭,自転車,不明,,,,34.77580889,135.3847961,,
514,H30,5/21/2018,15:22,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79081722,135.3772133,,
515,H30,5/25/2018,18:17,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.781625,135.435085,,
516,H30,5/27/2018,9:00,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.78735194,135.4099681,,
517,H30,5/28/2018,15:45,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.80167194,135.411515,,
518,H30,5/28/2018,21:45,軽傷事故,国道171号,左折時,自動車,自転車,,,,34.78966889,135.4059039,,
519,H30,5/29/2018,14:35,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.78327611,135.4005789,,
520,H30,5/29/2018,18:00,軽傷事故,県道伊丹豊中線,車両相互,自転車,自転車,,,,34.78285111,135.4270575,,
521,H30,5/31/2018,16:05,軽傷事故,一般市道,車両相互,自転車,原付,,,,34.79684306,135.3957839,,
522,H30,6/1/2018,7:55,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.77986306,135.4084239,,
523,H30,6/4/2018,16:42,軽傷事故,一般市道,人対車両,自転車,歩行者,,,,34.77813,135.4198489,,
524,H30,6/4/2018,11:30,軽傷事故,県道山本伊丹線,出合い頭,自転車,自転車,,,,34.78675806,135.4076011,,
525,H30,6/4/2018,16:55,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.76445194,135.41079,,
526,H30,6/4/2018,7:05,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78642556,135.4105992,,
527,H30,6/6/2018,9:35,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78002694,135.4122339,,
528,H30,6/4/2018,14:30,軽傷事故,その他,出合い頭,自動車,自転車,,,,34.76063778,135.4115375,,
529,H30,6/9/2018,21:20,軽傷事故,県道寺本伊丹線,右折時,自動車,自転車,,,,34.77784389,135.394785,,
530,H30,6/11/2018,16:40,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77397611,135.3938819,,
531,H30,6/11/2018,17:55,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.79204111,135.3943939,,
532,H30,6/6/2018,22:07,軽傷事故,県道山本伊丹線,右折時,自動車,自転車,,,,34.78398889,135.4087361,,
533,H30,6/12/2018,7:17,軽傷事故,その他,人対車両,自転車,歩行者,,,,34.782665,135.416075,,
534,H30,6/13/2018,8:45,軽傷事故,県道姥ケ茶屋伊丹線,右折時,自動車,自転車,,,,34.79270194,135.3995589,,
535,H30,6/13/2018,10:30,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78289028,135.4158728,,
536,H30,6/13/2018,17:40,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77301667,135.3895425,,
537,H30,6/15/2018,22:00,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.81258111,135.3811861,,
538,H30,6/16/2018,16:45,軽傷事故,一般県道,出合い頭,不明,自転車,,,,34.780575,135.38758,,
539,H30,6/16/2018,17:30,軽傷事故,県道尼崎池田線,右折時,不明,自転車,,,,34.774105,135.4186464,,
540,H30,6/17/2018,16:40,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.80437944,135.3956211,,
541,H30,6/18/2018,20:25,軽傷事故,一般市道,正面衝突,自転車,自転車,,,,34.77376694,135.41651,,
542,H30,6/20/2018,7:25,軽傷事故,一般市道,車両相互,自動車,自転車,,,,34.78058611,135.43678,,
543,H30,6/20/2018,20:50,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自動車,自転車,,,,34.77760194,135.3995111,,
544,H30,6/21/2018,10:00,軽傷事故,県道中野中筋線,出合い頭,自転車,自動車,,,,34.79683889,135.3877569,,
545,H30,6/21/2018,12:15,軽傷事故,一般市道,すれ違い時,自転車,自転車,,,,34.78308917,135.4227836,,
546,H30,6/21/2018,20:08,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.81327194,135.3882361,,
547,H30,6/22/2018,16:50,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.76386639,135.3987244,,
548,H30,6/23/2018,10:55,軽傷事故,県道伊丹豊中線,右折時,原付,自転車,,,,34.78259194,135.41602,,
549,H30,6/22/2018,22:15,軽傷事故,県道山本伊丹線,すれ違い時,不明,自転車,,,,34.77305889,135.4109331,,
550,H30,6/23/2018,12:40,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自転車,自転車,,,,34.78686333,135.3925264,,
551,H30,6/23/2018,11:45,軽傷事故,一般県道,車両相互,自動車,自転車,,,,34.779035,135.4113081,,
552,H30,6/24/2018,8:48,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.81067806,135.3781389,,
553,H30,6/24/2018,11:25,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自動車,自転車,,,,34.76238389,135.4116761,,
554,H30,6/25/2018,7:25,軽傷事故,県道尼崎池田線,左折時,自動車,自転車,,,,34.79784111,135.414495,,
555,H30,6/25/2018,9:20,軽傷事故,県道米谷昆陽尼崎線,右折時,自動車,自転車,,,,34.78959694,135.3903161,,
556,H30,6/25/2018,18:00,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.78901056,135.3741792,,
557,H30,6/27/2018,15:35,軽傷事故,一般市道,すれ違い時,自転車,原付,,,,34.77466083,135.3972767,,
558,H30,6/27/2018,15:35,軽傷事故,一般市道,すれ違い時,自転車,歩行者,,,,34.77466083,135.3972767,,
559,H30,6/29/2018,6:40,軽傷事故,県道尼崎宝塚線,出合い頭,二輪車,自転車,,,,34.77173361,135.3850236,,
560,H30,5/1/2018,18:43,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自転車,自転車,,,,34.78487611,135.3952239,,
561,H30,7/2/2018,11:47,軽傷事故,国道171号,右折時,自動車,自転車,,,,34.77386806,135.3844069,,
562,H30,7/2/2018,19:47,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.80840611,135.3847839,,
563,H30,7/2/2018,19:51,軽傷事故,県道尼崎池田線,その他,自動車,二輪車,自転車,,,34.77795889,135.4183061,,
564,H30,7/3/2018,10:28,軽傷事故,県道山本伊丹線,その他,自動車,自転車,,,,34.77853306,135.4103569,,
565,H30,7/3/2018,14:45,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.77125111,135.3873039,,
566,H30,7/9/2018,10:00,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.80629194,135.3942281,,
567,H30,7/10/2018,11:24,軽傷事故,一般市道,その他,不明,自転車,,,,34.77769389,135.4142111,,
568,H30,7/10/2018,11:50,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78654389,135.4155861,,
569,H30,7/10/2018,13:00,軽傷事故,一般市道,右折時,自転車,二輪車,,,,34.779085,135.3772081,,
570,H30,7/12/2018,7:10,軽傷事故,一般市道,単独事故,自転車,,,,,34.77634694,135.4004767,,
571,H30,7/12/2018,8:20,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.77790889,135.4302961,,
572,H30,7/15/2018,23:10,軽傷事故,県道伊丹豊中線,出合い頭,原付,自転車,,,,34.78264194,135.4315519,,
573,H30,7/16/2018,13:13,軽傷事故,一般市道,その他,自動車,自転車,,,,34.804405,135.3919728,,
574,H30,7/16/2018,13:40,軽傷事故,一般市道,その他,自動車,自転車,,,,34.78546694,135.37989,,
575,H30,7/17/2018,6:47,軽傷事故,県道姥ケ茶屋伊丹線,追突,自動車,自転車,,,,34.791755,135.4025989,,
576,H30,7/17/2018,10:30,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.81408611,135.3851089,,
577,H30,7/17/2018,10:55,軽傷事故,県道山本伊丹線,左折時,自動車,自転車,,,,34.783905,135.4086519,,
578,H30,7/18/2018,9:40,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.78857306,135.4126539,,
579,H30,7/18/2018,17:15,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77762139,135.3816792,,
580,H30,7/18/2018,18:50,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77363194,135.3970819,,
581,H30,7/22/2018,9:30,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.77010306,135.397895,,
582,H30,7/22/2018,17:40,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.79428528,135.3867975,,
583,H30,7/22/2018,17:50,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.77975194,135.39397,,
584,H30,7/23/2018,8:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77761806,135.4078389,,
585,H30,7/25/2018,11:30,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.77595889,135.4090161,,
586,H30,7/26/2018,6:50,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.78750889,135.4027269,,
587,H30,7/29/2018,13:20,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.78958889,135.37501,,
588,H30,7/30/2018,19:50,軽傷事故,県道寺本伊丹線,左折時,自動車,自転車,,,,34.78174611,135.4135181,,
589,H30,7/30/2018,20:20,軽傷事故,一般市道,追い越し時,不明,自転車,,,,34.79178,135.3940689,,
590,H30,8/1/2018,8:20,軽傷事故,国道171号,すれ違い時,不明,自転車,,,,34.78958,135.40604,,
591,H30,8/2/2018,19:40,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78873111,135.3732169,,
592,H30,8/3/2018,13:45,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77152389,135.4181089,,
593,H30,8/3/2018,16:23,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77282861,135.3885686,,
594,H30,8/3/2018,16:30,軽傷事故,一般市道,追い越し時,自動車,自転車,,,,34.77249111,135.3994439,,
595,H30,8/3/2018,17:59,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79882611,135.39407,,
596,H30,8/8/2018,6:05,軽傷事故,国道171号,右折時,自動車,自転車,,,,34.78238806,135.3970089,,
597,H30,8/9/2018,11:33,軽傷事故,一般市道,追い越し時,自動車,自転車,,,,34.79679111,135.3958381,,
598,H30,8/9/2018,13:22,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78418111,135.4138372,,
599,H30,8/9/2018,22:36,軽傷事故,その他,正面衝突,自動車,自転車,,,,34.77781889,135.4045189,,
600,H30,8/11/2018,10:50,軽傷事故,県道尼崎池田線,出合い頭,不明,自転車,,,,34.77209444,135.4193492,,
601,H30,8/11/2018,19:40,重傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79771806,135.4021031,,
602,H30,8/13/2018,11:06,軽傷事故,一般市道,すれ違い時,不明,自転車,,,,34.78338639,135.4216997,,
603,H30,8/13/2018,17:25,軽傷事故,県道寺本伊丹線,出合い頭,自動車,自転車,,,,34.78074972,135.4070347,,
604,H30,8/14/2018,11:35,軽傷事故,県道中野中筋線,その他,自転車,自動車,,,,34.79687,135.3875461,,
605,H30,8/15/2018,8:15,重傷事故,一般市道,出合い頭,自転車,原付,,,,34.7838575,135.4058739,,
606,H30,8/18/2018,8:40,軽傷事故,県道米谷昆陽尼崎線,その他,自転車,自転車,,,,34.7858625,135.3943047,,
607,H30,8/21/2018,8:35,軽傷事故,県道尼崎宝塚線,正面衝突,自転車,自転車,,,,34.79108194,135.3791953,,
608,H30,8/22/2018,6:55,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79857111,135.389445,,
609,H30,8/22/2018,7:35,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77737611,135.4142611,,
610,H30,8/23/2018,16:30,重傷事故,県道中野中筋線,追い越し時,不明,自転車,,,,34.77840556,135.4104514,,
611,H30,8/25/2018,19:13,軽傷事故,国道171号,右折時,自動車,自転車,,,,34.77386417,135.3846878,,
612,H30,8/25/2018,20:30,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79273389,135.4179389,,
613,H30,8/26/2018,13:40,軽傷事故,その他,出合い頭,自動車,自転車,,,,34.78503194,135.3828119,,
614,H30,8/26/2018,20:40,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.79341111,135.4100581,,
615,H30,8/27/2018,13:03,軽傷事故,県道姥ケ茶屋伊丹線,左折時,自動車,自転車,,,,34.79083389,135.40425,,
616,H30,8/28/2018,15:20,軽傷事故,県道尼崎宝塚線,出合い頭,自動車,自転車,,,,34.77258306,135.3848394,,
617,H30,8/29/2018,8:10,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.76861889,135.4097269,,
618,H30,8/30/2018,9:30,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78923611,135.3740869,,
619,H30,8/30/2018,19:10,重傷事故,一般市道,単独事故,自転車,,,,,34.81347278,135.3886594,,
620,H30,8/30/2018,19:57,軽傷事故,国道171号,右折時,不明,自転車,,,,34.79313611,135.4100631,,
621,H30,8/30/2018,21:27,軽傷事故,一般市道,追い越し時,自動車,自転車,,,,34.791495,135.3826608,,
622,H30,8/31/2018,9:20,軽傷事故,県道尼崎宝塚線,右折時,自動車,自転車,,,,34.78709694,135.3827739,,
623,H30,7/6/2018,13:13,軽傷事故,県道尼崎宝塚線,出合い頭,自動車,自転車,,,,34.79048611,135.3798619,,
624,H30,7/31/2018,11:45,軽傷事故,県道寺本伊丹線,すれ違い時,自転車,自転車,,,,34.77986,135.4028931,,
625,H30,9/1/2018,18:45,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76794028,135.4199489,,
626,H30,9/2/2018,12:26,軽傷事故,県道中野中筋線,出合い頭,自動車,自転車,,,,34.80567306,135.3835339,,
627,H30,9/5/2018,7:10,軽傷事故,一般市道,出合い頭,自転車,二輪車,,,,34.79375889,135.40593,,
628,H30,9/5/2018,7:20,軽傷事故,県道姥ケ茶屋伊丹線,出合い頭,自動車,自転車,,,,34.79394611,135.3949481,,
629,H30,9/5/2018,8:55,軽傷事故,一般市道,追い越し時,不明,自転車,,,,34.78389194,135.3998783,,
630,H30,9/5/2018,9:10,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.788335,135.3788639,,
631,H30,9/5/2018,10:25,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77900806,135.3833531,,
632,H30,9/6/2018,19:15,軽傷事故,県道中野中筋線,出合い頭,二輪車,自転車,,,,34.79215389,135.3838469,,
633,H30,9/6/2018,20:05,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78635694,135.41825,,
634,H30,9/7/2018,16:15,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.78057806,135.4107731,,
635,H30,9/7/2018,20:35,軽傷事故,県道米谷昆陽尼崎線,すれ違い時,自転車,自転車,,,,34.78273861,135.396385,,
636,H30,9/10/2018,8:30,軽傷事故,一般市道,すれ違い時,自動車,自転車,,,,34.79820194,135.4047914,,
637,H30,9/10/2018,16:50,軽傷事故,県道伊丹豊中線,人対車両,自転車,歩行者,,,,34.77852611,135.39813,,
638,H30,9/10/2018,18:27,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79275194,135.4179339,,
639,H30,9/11/2018,8:40,軽傷事故,一般市道,すれ違い時,自動車,自転車,,,,34.78059806,135.4342169,,
640,H30,9/11/2018,16:30,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.78668389,135.3728839,,
641,H30,9/12/2018,17:13,軽傷事故,一般市道,すれ違い時,自転車,自動車,,,,34.80516111,135.3931711,,
642,H30,9/13/2018,7:45,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.80500111,135.3987669,,
643,H30,9/13/2018,9:05,軽傷事故,県道伊丹豊中線,右折時,自動車,自転車,,,,34.78288861,135.4304333,,
644,H30,9/15/2018,11:35,軽傷事故,一般市道,すれ違い時,自動車,自転車,,,,34.80035111,135.3875711,,
645,H30,9/15/2018,12:30,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.77876,135.4036661,,
646,H30,9/17/2018,13:50,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.77720389,135.4270261,,
647,H30,9/17/2018,16:15,軽傷事故,一般市道,追い越し時,自動車,自転車,,,,34.77716056,135.3896939,,
648,H30,9/17/2018,16:35,軽傷事故,国道171号,左折時,自動車,自転車,,,,34.79004889,135.4063339,,
649,H30,9/19/2018,16:17,軽傷事故,県道伊丹停車場線,出合い頭,自動車,自転車,,,,34.78098694,135.4213742,,
650,H30,9/22/2018,10:00,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.78393972,135.3795283,,
651,H30,9/22/2018,19:35,軽傷事故,一般市道,その他,自動車,自転車,,,,34.77246389,135.3964594,,
652,H30,9/22/2018,23:20,重傷事故,県道尼崎宝塚線,出合い頭,不明,自転車,,,,34.78716389,135.3829581,,
653,H30,9/25/2018,8:00,軽傷事故,県道寺本伊丹線,左折時,二輪車,自転車,,,,34.78257806,135.4160189,,
654,H30,9/25/2018,16:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77981333,135.4083947,,
655,H30,9/25/2018,17:30,軽傷事故,県道姥ケ茶屋伊丹線,左折時,自動車,自転車,,,,34.79686833,135.3878528,,
