serial number,year,date,time,accident details,route,accident type,party 1,party 2,Party 3,Party 4,Party 5,latitude,longitude,elementary school district,dead
52,H29,3/7/2017,17:30,軽傷事故,県道尼崎宝塚線,左折時,自動車,自転車,,,,34.7738525,135.3848778,,
53,H29,3/8/2017,7:55,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.79898,135.4203289,,
54,H29,3/10/2017,16:10,軽傷事故,県道尼崎宝塚線,人対車両,自転車,歩行者,,,,34.78374694,135.3844061,,
55,H29,3/14/2017,18:20,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77499694,135.3918461,,
56,H29,3/16/2017,10:50,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79214806,135.3904089,,
57,H29,3/17/2017,17:25,軽傷事故,一般市道,右折時,自転車,自動車,,,,34.80436333,135.3919317,,
58,H29,3/22/2017,9:50,軽傷事故,一般市道,すれ違い時,自動車,自転車,,,,34.76269722,135.4186819,,
59,H29,3/22/2017,10:20,重傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77498278,135.4156744,,
60,H29,3/22/2017,16:05,重傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78950917,135.3840853,,
61,H29,3/22/2017,23:05,軽傷事故,県道東富松御願塚線,出合い頭,自転車,二輪車,,,,34.76626722,135.4168275,,
62,H29,3/25/2017,9:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.80053583,135.4253194,,
63,H29,3/25/2017,22:00,軽傷事故,県道寺本伊丹線,単独事故,自転車,,,,,34.77921111,135.4002511,,
64,H29,3/27/2017,8:19,軽傷事故,県道山本伊丹線,出合い頭,自転車,二輪車,,,,34.76873111,135.4112319,,
65,H29,3/27/2017,15:10,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.78604861,135.4146942,,
66,H29,3/27/2017,16:35,軽傷事故,一般市道,人対車両,自転車,歩行者,,,,34.77989472,135.4140131,,
67,H29,3/28/2017,14:50,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.76177611,135.39875,,
68,H29,3/28/2017,17:28,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76212667,135.3982672,,
69,H29,3/29/2017,16:15,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.8011725,135.3928239,,
70,H29,3/30/2017,7:45,軽傷事故,県道中野中筋線,右折時,自転車,自転車,,,,34.80932,135.3815639,,
71,H29,3/30/2017,11:43,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79830111,135.3944539,,
72,H29,4/1/2017,9:10,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.77475889,135.412885,,
73,H29,4/2/2017,10:35,軽傷事故,県道中野中筋線,左折時,自動車,自転車,,,,34.80825,135.3822619,,
74,H29,4/2/2017,18:55,軽傷事故,一般市道,追突,自動車,自転車,,,,34.76693889,135.394285,,
75,H29,4/3/2017,7:29,軽傷事故,県道尼崎池田線,車両相互,自転車,自転車,,,,34.76906806,135.4200119,,
76,H29,4/3/2017,8:32,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79307194,135.4083581,,
77,H29,4/3/2017,19:45,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.78376,135.3986869,,
78,H29,4/3/2017,21:00,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.76704194,135.40834,,
79,H29,4/4/2017,7:00,軽傷事故,県道尼崎池田線,出合い頭,自動車,自転車,,,,34.80031389,135.4132581,,
80,H29,4/5/2017,14:00,軽傷事故,県道尼崎宝塚線,正面衝突,不明,自転車,,,,34.77243611,135.3849011,,
81,H29,4/6/2017,13:05,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78639306,135.4105919,,
82,H29,4/8/2017,7:35,重傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77419306,135.3956919,,
83,H29,4/8/2017,18:20,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.79021111,135.4065169,,
84,H29,4/9/2017,15:40,軽傷事故,その他,単独事故,自転車,,,,,34.77416306,135.3846,,
85,H29,4/11/2017,13:55,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.80422,135.3891189,,
86,H29,4/12/2017,16:30,軽傷事故,県道尼崎池田線,出合い頭,自動車,自転車,,,,34.78799389,135.4171811,,
87,H29,4/12/2017,17:40,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79658889,135.4193319,,
88,H29,4/13/2017,9:55,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.78259111,135.4160119,,
89,H29,4/13/2017,17:05,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77418694,135.407555,,
90,H29,4/14/2017,6:30,軽傷事故,一般市道,出合い頭,自転車,不明,,,,34.77287889,135.4003361,,
91,H29,4/15/2017,8:28,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78097917,135.4214397,,
92,H29,4/15/2017,10:05,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.77688333,135.3900044,,
93,H29,4/18/2017,7:40,軽傷事故,一般市道,追い越し時,不明,自転車,,,,34.77728,135.4037619,,
94,H29,4/19/2017,17:45,軽傷事故,県道米谷昆陽尼崎線,左折時,自動車,自転車,,,,34.78955056,135.3900672,,
95,H29,4/19/2017,22:10,軽傷事故,県道尼崎宝塚線,右折時,不明,自転車,,,,34.77381389,135.3846081,,
96,H29,4/20/2017,7:45,軽傷事故,一般市道,追い越し時,自動車,自転車,,,,34.78955806,135.3800511,,
97,H29,4/21/2017,6:30,軽傷事故,県道尼崎池田線,右折時,不明,自転車,,,,34.7925175,135.41636,,
98,H29,4/21/2017,8:15,軽傷事故,一般市道,人対車両,自転車,歩行者,,,,34.7681375,135.3979008,,
99,H29,4/22/2017,0:25,軽傷事故,一般市道,追い越し時,自転車,不明,,,,34.78979833,135.3896539,,
100,H29,4/23/2017,14:55,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77936889,135.3854639,,
101,H29,4/24/2017,7:20,重傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79902194,135.3894281,,
102,H29,4/24/2017,19:09,軽傷事故,県道尼崎宝塚線,左折時,自動車,自転車,,,,34.77428,135.3847989,,
103,H29,4/24/2017,19:27,軽傷事故,県道山本伊丹線,追い越し時,自動車,自転車,,,,34.78932806,135.4060811,,
104,H29,4/25/2017,19:30,軽傷事故,一般市道,正面衝突,自転車,不明,,,,34.78058889,135.4052719,,
105,H29,4/26/2017,8:00,軽傷事故,一般市道,単独事故,自転車,,,,,34.77720611,135.4125911,,
106,H29,4/26/2017,12:05,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自動車,自転車,,,,34.78838194,135.3911639,,
107,H29,4/27/2017,10:30,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.80126389,135.397535,,
108,H29,4/27/2017,11:35,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78645556,135.3762928,,
109,H29,4/27/2017,12:10,重傷事故,一般市道,出合い頭,不明,自転車,,,,34.79390889,135.3815589,,
110,H29,4/27/2017,13:15,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.80872361,135.3855944,,
111,H29,4/28/2017,5:50,軽傷事故,県道東富松御願塚線,出合い頭,自転車,自動車,,,,34.76556889,135.4061881,,
112,H29,4/28/2017,14:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.76931611,135.4174061,,
113,H29,4/30/2017,10:55,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.79817611,135.4154269,,
114,H29,5/2/2017,11:42,軽傷事故,その他,右折時,自動車,自転車,,,,34.77676111,135.4022731,,
115,H29,5/2/2017,17:30,軽傷事故,県道米谷昆陽尼崎線,左折時,自動車,自転車,,,,34.78761889,135.3915139,,
116,H29,5/2/2017,19:20,軽傷事故,一般市道,正面衝突,自転車,自転車,,,,34.80053722,135.4127625,,
117,H29,5/2/2017,19:54,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78756389,135.410255,,
118,H29,5/3/2017,11:15,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.79034306,135.4167333,,
119,H29,5/6/2017,12:20,軽傷事故,県道尼崎池田線,出合い頭,二輪車,自転車,,,,34.77681611,135.4185731,,
120,H29,5/7/2017,13:00,軽傷事故,県道寺本伊丹線,左折時,自転車,自転車,,,,34.78072111,135.4070756,,
121,H29,5/9/2017,6:56,軽傷事故,一般市道,出合い頭,自転車,不明,,,,34.78005889,135.4130589,,
122,H29,5/11/2017,7:58,軽傷事故,県道山本伊丹線,出合い頭,自転車,原付,,,,34.77164194,135.4110461,,
123,H29,5/12/2017,19:40,軽傷事故,一般市道,出合い頭,自転車,不明,,,,34.792915,135.3816381,,
124,H29,5/13/2017,11:00,軽傷事故,県道尼崎宝塚線,車両相互,自転車,自動車,,,,34.78912194,135.3812831,,
125,H29,5/14/2017,16:15,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.77746,135.4044081,,
126,H29,5/15/2017,7:40,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.78782833,135.3745069,,
