u,v,freq
2339942260,10668142698,1
10668142698,1887754947,2
2583020704,2583020711,1
2583020711,2551144154,2
2338611525,2338611540,1
2607212013,1838274412,1
1838274412,1838278128,3
1887754893,1889922595,3
1838165770,1888275110,1
1837840878,1887754959,4
1887754959,1887754967,4
1887754967,1837850876,4
1836928393,1889318064,2
1889318064,1888275170,2
1284244495,1284244509,4
1889922577,1284244495,2
2339942384,2339942493,1
1887754887,1887754894,1
2290327754,561317845,1
561317845,412490208,1
412490208,418979136,1
1888017797,1887996651,3
1887996651,2574408063,4
2574408063,1889318031,5
1889318031,1892569197,5
1892569197,1838155804,1
1838155804,1887754884,1
1887754884,4111731288,2
1887754982,1887754978,2
1836928399,1838165815,2
1889318056,2338611406,2
1836924078,1836928434,3
1836928434,1836928400,3
2338611321,1838165778,1
1838165778,1889922594,1
2612875751,1889922565,1
1889922565,1889922566,1
2338611344,2338611406,2
2293141066,2293141128,1
2338611618,1838172961,2
1838172961,2338611399,2
2296518015,2315831622,2
2315831622,2315831568,2
2315831568,2315831446,2
1838172958,2338611618,1
1838147114,1838147077,1
2293140984,2315831402,1
2315831402,1836924079,1
1838155810,1889922597,1
1838167531,535273492,1
2293141014,2293141011,3
2293141011,2293140755,4
1837302594,4239756256,4
4239756256,1888275240,24
1888275240,461776141,27
461776141,418979145,28
418979145,4267886508,28
4267886508,412490210,176
412490210,4267886507,176
4267886507,440101585,177
440101585,412489543,359
1836364516,1888274997,17
1888274997,2539700670,23
2539700670,1888274938,35
1888274938,4451835867,43
2294260758,1888275330,22
1888275330,1837295571,25
1837295571,559950039,36
559950039,439985863,40
439985863,300224947,40
300224947,439280586,40
439280586,412490206,41
412490206,1832847407,41
1832847407,1832847432,49
1832847432,461768692,52
461768692,525171230,56
525171230,440101585,69
442983207,440101585,112
1837295573,4239756256,18
429729057,4469560664,46
4469560664,1856462046,87
1856462046,442983207,99
1864029324,1832887293,17
1832887293,1832887298,21
1832887298,1832887282,24
1832887282,1832887292,61
1832887292,1829320353,61
1829320353,7565580126,63
7565580126,7565580121,108
7565580121,7565580119,118
