u,v,freq
1851834359,4426123476,35.0
4426123476,258765277,187.0
258765277,561138402,187.0
2548007277,2548007330,20.0
2548007330,1832887586,20.0
1832887586,1864029324,20.0
1864029324,1832887293,20.0
1832887293,1832887298,20.0
1832887298,1832887282,24.0
1832887282,1832887292,38.0
1832887292,1829320353,38.0
1829320353,7565580126,38.0
7565580126,7565580121,44.0
7565580121,7565580119,45.0
7565580119,1837295557,48.0
1837295557,2293447347,48.0
2293447347,1837302590,48.0
1837302590,465501108,48.0
465501108,412489539,48.0
412489539,4267886508,48.0
2509011573,1832892752,21.0
1832892752,1832892766,12.0
1832892766,1832892764,12.0
1832892764,1832892767,12.0
1832892767,1832892761,12.0
1832892761,1832892755,12.0
1832892755,1832892758,12.0
1832892758,1832887282,13.0
1829320362,1829320367,11.0
1829320367,2548159453,16.0
2548159453,2555402982,16.0
2555402982,2548159475,17.0
430019272,436239884,8.0
436239884,436239897,18.0
436239897,411669989,22.0
411669989,440018190,25.0
440018190,1824873146,18.0
1824873146,1824874813,20.0
1824874813,1834375659,27.0
1834375659,1830345833,28.0
1830345833,437991345,72.0
437991345,7980986351,72.0
7980986351,457652923,93.0
457652923,473404784,106.0
473404784,1824880676,140.0
1824880676,1855631128,61.0
1855631128,675924682,66.0
675924682,1823311513,71.0
1823311513,1832901703,71.0
1832901703,258765311,73.0
258765311,1823311495,77.0
1823311495,258765300,88.0
258765300,4270083374,126.0
4270083374,1974916786,126.0
1974916786,1823311529,127.0
1823311529,6163875624,152.0
6163875624,4446361806,152.0
4446361806,4426123476,152.0
1836106390,2509011776,5.0
2509011776,2509011573,9.0
1832892752,529134967,9.0
529134967,1836104808,9.0
1836104808,2506040411,9.0
2506040411,1886255795,10.0
1886255795,559950141,13.0
559950141,4169601754,14.0
4169601754,448961305,13.0
448961305,1857314350,13.0
1857314350,266728691,13.0
266728691,567271279,13.0
567271279,2458037537,13.0
2458037537,567271254,13.0
567271254,567271230,13.0
567271230,448961307,13.0
448961307,448961308,33.0
448961308,2458037536,33.0
2458037536,528612288,33.0
528612288,1886255799,33.0
1886255799,1886255798,33.0
1886255798,2458037535,33.0
2458037535,1851790547,35.0
1851790547,437985748,35.0
437985748,1834494255,35.0
1834494255,1834494258,35.0
1834494258,1830337928,39.0
1886255796,2294260758,5.0
2294260758,1888275330,5.0
1888275330,1837295571,5.0
1837295571,559950039,9.0
559950039,439985863,11.0
439985863,300224947,11.0
300224947,439280586,11.0
439280586,412490206,11.0
412490206,1832847407,11.0
1832847407,1832847432,11.0
1832847432,461768692,11.0
461768692,525171230,11.0
525171230,440101585,12.0
4456473455,4456473454,1.0
4456473454,1838721605,2.0
1838721605,418979239,3.0
418979239,1836364516,3.0
1836364516,1888274997,4.0
1888274997,2539700670,7.0
2539700670,1888274938,11.0
1888274938,4451835867,13.0
4451835867,4270083364,15.0
4270083364,4270083362,15.0
4270083362,1836364507,18.0
1829320343,1829320354,5.0
1829320354,266728708,13.0
266728708,1829320350,16.0
1829320350,465496832,17.0
465496832,1829320357,22.0
1829320357,457431974,22.0
457431974,266728711,22.0
266728711,1026392213,22.0
1026392213,1829320340,34.0
1829320340,457803020,34.0
457803020,2559516542,34.0
2559516542,2559516469,34.0
2559516469,1833002215,34.0
1833002215,11181227255,35.0
11181227255,1833002210,35.0
1833002210,2559516441,35.0
2559516441,258765300,35.0
1886255794,1886255795,5.0
1886255795,1886255796,3.0
2548007180,1836105931,3.0
4269660037,1829320364,4.0
1829320364,1864029340,4.0
1864029340,1832887317,4.0
1832887317,7565580124,4.0
7565580124,7565580126,5.0
1836924078,1836928434,1.0
1836928434,1836928400,2.0
2293140768,2294260604,1.0
2294260604,2294260605,1.0
2294260605,1832887313,1.0
1832887313,1832892758,1.0
1865549587,2548007277,12.0
1832887296,1832887298,2.0
1886255792,1886255791,6.0
412490200,442978854,1.0
442978854,457431992,1.0
457431992,2293447337,4.0
2293447337,4949007142,15.0
4949007142,1837295563,15.0
2287610781,1888275240,4.0
442983205,442983207,1.0
442983207,440101585,4.0
439280596,439280599,13.0
439280599,1865549590,14.0
1865549590,1865549588,14.0
1865549588,439280583,20.0
439280583,448961307,20.0
1889318040,2550533052,1.0
2550533052,1888274950,1.0
1888274950,4451835867,1.0
2293141014,2293141011,1.0
2293141011,2293140755,1.0
4459511248,1888274997,4.0
1832892760,1865549587,1.0
1906846486,412489543,1.0
1832887289,1832887294,1.0
1832887294,1832887280,5.0
1832887280,1832887307,6.0
1832887307,1832887284,6.0
1832887284,465498927,9.0
465498927,2550533002,11.0
2550533002,2293447337,11.0
2156974121,2156974130,20.0
2156974130,2156974125,23.0
2156974125,582807725,35.0
582807725,1824873145,38.0
1824873145,442000327,2.0
442000327,1824873146,2.0
448080659,1886255793,3.0
1886255793,1837295571,3.0
1837302589,1832887290,3.0
1832887290,4269660045,3.0
4269660045,4949007542,3.0
4949007542,7565580119,3.0
4469560664,1856462046,3.0
1856462046,442983207,3.0
1832892768,1837302589,2.0
448080660,2294260775,2.0
2294260775,559950134,2.0
559950134,559950039,2.0
2293141123,448080659,1.0
429729053,4469560664,1.0
2156974121,2156974127,1.0
2156974128,4092491890,1.0
4092491890,4092491889,1.0
4092491889,1834375635,4.0
1834375635,2156974123,1.0
2156974123,1865549592,1.0
1865549592,2458037514,1.0
2458037514,1865549590,1.0
1865549590,1865549595,1.0
1865549595,1865549594,1.0
1865549594,1865549593,1.0
1865549593,439280589,1.0
439280589,266728692,1.0
266728692,559950141,1.0
4169601754,448080660,1.0
1832887311,1864029334,1.0
1864029334,7565580124,1.0
2287610773,2287610781,1.0
461750357,439280600,4.0
439280600,2458037514,7.0
2458037514,1865549592,7.0
1865549592,2156974123,7.0
2156974123,1834375635,17.0
1834375635,4212704072,27.0
450298400,8263725413,1.0
8263725413,2296008011,1.0
2296008011,266608454,1.0
266608454,412489540,1.0
4270116298,525171230,1.0
461773430,1834382830,4.0
1834382830,461773426,6.0
461773426,482481867,6.0
482481867,582807729,8.0
582807729,3456547540,8.0
3456547540,562873658,8.0
562873658,1834382823,10.0
1834382823,582807730,12.0
582807730,1834393568,14.0
1834393568,582807732,16.0
582807732,1834391738,17.0
1834391738,4014695093,19.0
4014695093,1834494237,20.0
1834720181,1834720220,1.0
1834720220,1834704680,3.0
1834704680,1834704692,9.0
1834704692,2672657716,26.0
2672657716,1834704697,28.0
1834704697,2672369519,28.0
2672369519,1865210076,29.0
1865210076,1834721178,29.0
1834721178,4014695095,55.0
4014695095,574334936,57.0
574334936,2625496329,59.0
2625496329,5963570992,59.0
5963570992,574337168,59.0
437987970,437987972,10.0
437987972,1834720128,10.0
1834720128,2705022180,11.0
2705022180,1834724146,11.0
1834724146,1834720180,11.0
1834720180,1834720134,11.0
1834720134,1834724155,11.0
1834724155,1834720147,11.0
1834720147,1834724149,14.0
1834724149,1834724140,17.0
1834724140,1834724150,17.0
1834724150,2672717365,17.0
2672717365,5111345950,17.0
5111345950,2625496332,19.0
2625496332,574337166,19.0
574337166,2625496335,19.0
2625496335,2889774418,19.0
2889774418,510145270,19.0
510145270,2625496682,42.0
2625496682,2835224027,50.0
2156974129,2156974125,12.0
1824873145,582807726,36.0
582807726,1834391729,50.0
1834391729,1834391744,51.0
1834391744,1834391760,58.0
1834391760,4224135786,60.0
2662207970,2662208084,1.0
1824873155,4092283360,4.0
4092283360,2156974123,5.0
1834720203,1834704686,11.0
1834704686,563392574,12.0
563392574,563392576,15.0
563392576,1865210071,15.0
1865210071,563392578,17.0
563392578,1834721178,26.0
4092491890,2156974124,16.0
2889774166,2625496330,19.0
2625496330,574337171,19.0
574337171,2625496413,19.0
2625496413,510145270,21.0
1827324744,1834494235,1.0
1834494235,2509904153,3.0
2509904153,1834494232,3.0
1834494232,1834494250,4.0
1834494250,1834494258,4.0
563392570,1834720203,7.0
1834375627,582807726,14.0
2662669382,2670916091,6.0
2670916091,2662669632,6.0
2662669632,438757181,7.0
438757181,437987970,7.0
4092491899,4092491890,6.0
1824873161,1829575039,5.0
1827324752,510145272,6.0
510145272,1834391753,7.0
1834391753,1834391742,7.0
1834391742,1834391716,7.0
1834391716,1834391731,7.0
1834391731,2625496676,7.0
2625496676,2625496682,7.0
1834720178,1834720220,1.0
1834704689,1834704701,4.0
1834704701,1834704695,4.0
1834704695,1865210073,4.0
1865210073,1834704680,4.0
582809906,2660977470,3.0
2660977470,482481872,3.0
482481872,563392570,4.0
440018190,2156974129,10.0
436239892,436239894,4.0
436239894,1818517350,4.0
1818517350,411669988,5.0
411669988,1824874813,7.0
461773432,1834375627,7.0
1834720168,2672311329,1.0
2672311329,1834724138,1.0
1834724138,2672375848,1.0
2672375848,1834724141,1.0
1834724141,2672375870,1.0
2672375870,1834720221,1.0
1834720221,1834724154,10.0
1834724154,1834720196,10.0
1834720196,1834720200,10.0
1834720200,563390996,10.0
563390996,2905347686,11.0
2905347686,1834720209,11.0
1834720209,1829575050,12.0
1829575050,4714034102,12.0
4714034102,1022892283,12.0
1022892283,2889774077,12.0
2889774077,2889774166,13.0
1834720222,1834720203,3.0
1834494244,1834494235,2.0
1834721172,5111345949,2.0
5111345949,574334936,2.0
437987975,1834720170,1.0
1834720170,562873655,1.0
562873655,2672375824,12.0
2672375824,1834704691,16.0
1834704691,1834704699,17.0
1834704699,1865210075,17.0
1865210075,1834704692,17.0
2672657707,2672657716,2.0
1824873146,461773432,1.0
446557373,1834724148,1.0
1834724148,1834724160,1.0
1834724160,1834724153,1.0
1834724153,2915445495,1.0
2915445495,563390996,1.0
482481865,1834382815,2.0
1834382815,1834382809,2.0
1834382809,582807727,3.0
582807727,1834393567,3.0
1834393567,1834391744,3.0
1022551804,1834494244,1.0
2672375820,2672375824,4.0
1834720183,437987965,11.0
437987965,1834704690,11.0
1834704690,562873655,11.0
2672311287,1834720128,1.0
1834704703,1830337941,9.0
1830337941,1834721183,9.0
1834721183,563392578,9.0
1834720214,1830337970,7.0
1830337970,1834704684,7.0
1834704684,1830337965,7.0
1830337965,562873653,7.0
562873653,1830337957,7.0
1830337957,1834704703,7.0
582809907,482481872,1.0
1834720218,532934200,4.0
532934200,2625496321,4.0
2625496321,2889774165,4.0
2889774165,2889774166,4.0
442000327,1834375627,2.0
1824874813,461773430,1.0
1830337960,1830337943,1.0
562873661,2662669632,1.0
1020676075,563404887,1.0
563404887,1827324752,1.0
4092491894,461750357,1.0
1834494256,1834494253,1.0
2637712924,437991354,6.0
437991354,437991358,9.0
437991358,2637672842,27.0
2637672842,1818517362,27.0
1818517362,1830345831,27.0
1830345831,1830345833,32.0
1834720136,2672369297,1.0
2672369297,1834724145,1.0
1834724145,1834720147,2.0
437987964,1834720183,9.0
2410538407,2410538406,2.0
2410538406,2410538424,2.0
2410538424,1638909166,2.0
1638909166,3864402386,6.0
3864402386,2409431641,6.0
2409431641,1911301271,6.0
1911301271,1639365378,7.0
1639365378,1911301276,8.0
1911301276,1639346857,8.0
1639346857,563399111,9.0
563399111,1834803227,142.0
1834803227,1834773598,142.0
1834773598,1834773596,142.0
1834773596,1834803202,143.0
1834803202,1637656708,144.0
1637656708,1740247404,144.0
1740247404,1639385191,145.0
1639385191,1834782591,145.0
1834782591,5634115173,145.0
1834825271,1827324752,3.0
1638908385,1638908499,6.0
1638908499,4086918028,12.0
4086918028,8065957994,45.0
8065957994,8065879959,50.0
8065879959,1638909065,56.0
1638909065,1834764030,56.0
1834764030,6253560073,56.0
6253560073,4187740974,56.0
4187740974,1834764038,56.0
1834764038,5634115173,97.0
1638908584,1638908684,7.0
1638908684,1638908685,9.0
1638908685,1638908836,9.0
1638908836,1638908828,9.0
1638908828,1830362479,12.0
1830362479,4086918028,18.0
2672717150,2672717002,2.0
2672717002,8065957994,5.0
1834764031,8065879959,5.0
2409431644,2176631308,1.0
2176631308,1638908864,22.0
1638908864,2409431639,43.0
2409431639,1638908866,44.0
1638908866,3777794133,45.0
3777794133,3862868628,49.0
3862868628,3864149141,51.0
3864149141,3864149669,51.0
3864149669,3815281607,57.0
3815281607,2410538425,57.0
2410538425,2410538427,59.0
2410538427,1638909193,59.0
1638909193,2935569871,133.0
2935569871,563399111,133.0
1638908452,1638908526,5.0
1638908526,411669447,8.0
411669447,1638908613,55.0
1638908613,3815280443,56.0
3815280443,4187866092,57.0
4187866092,1638908860,58.0
1638908860,1638909083,73.0
1638909083,1638909161,73.0
1638909161,1638909193,74.0
1638908646,1638908828,2.0
1834825305,1834825256,2.0
1834825256,4020083977,2.0
4020083977,1834764038,41.0
2969589228,1639365376,1.0
1639365376,1639365378,1.0
1740234344,1638909057,4.0
1638909057,3815281587,5.0
3815281587,3815281336,7.0
3815281336,3838115448,8.0
3838115448,3815281178,8.0
3815281178,3815281077,11.0
3815281077,3815281073,14.0
3815281073,3815281062,15.0
3815281062,3664705738,15.0
3664705738,3991625922,15.0
3991625922,1638908860,15.0
8065957997,1834728305,1.0
1834728305,8065879957,9.0
8065879957,429674178,22.0
429674178,1834764032,25.0
1834764032,1830459097,25.0
1830459097,12979725836,33.0
12979725836,4020083977,33.0
1886258589,3626111901,4.0
3626111901,1638908178,8.0
1638908178,1638908227,18.0
1638908227,1868192773,21.0
1868192773,2395785380,21.0
2395785380,411669447,43.0
1638908408,3752319298,6.0
3752319298,3752319333,6.0
3752319333,1830362479,6.0
1834728301,1834728303,3.0
1834728303,2672717006,11.0
2672717006,2916813191,11.0
2916813191,8065879957,13.0
4707481293,4007847831,1.0
4007847831,429674178,3.0
1834761077,1834761076,6.0
1834761076,1834764027,8.0
1834764027,1830459097,8.0
1834825271,676024957,1.0
676024957,1834832223,2.0
1834832223,676024880,6.0
676024880,1834825326,6.0
1834825326,4020083977,6.0
4353509977,1638908452,2.0
3835045727,3835045526,6.0
3835045526,1638908499,6.0
1859685650,411669447,3.0
2410538418,2410538416,2.0
2410538416,2410538425,2.0
2176631305,1638908588,1.0
1638908588,2176631306,1.0
2176631306,1638908616,1.0
1638908616,5679235527,1.0
5679235527,3815280444,1.0
3815280444,3777794133,4.0
1638909056,1638909009,3.0
1638909009,3815281298,3.0
3815281298,1638908887,3.0
1638908887,3815281077,3.0
3815281155,3815281178,2.0
2672717193,2672717187,1.0
2672717187,2672717236,1.0
2672717236,532934191,1.0
532934191,2916813792,1.0
2916813792,2660883552,1.0
2660883552,2660883556,1.0
2660883556,4007847831,1.0
2672716973,1834728305,7.0
1834720120,1834720182,9.0
1834720182,2704032602,9.0
2704032602,2704032610,9.0
2704032610,1834720221,9.0
8066018501,4358609722,5.0
4358609722,4086918028,11.0
1638909044,2410538419,2.0
2410538419,3864149064,2.0
3864149064,3862868628,2.0
1638908301,1638908291,1.0
1638908291,1886258584,20.0
1886258584,3823720696,21.0
3823720696,2395785387,21.0
2395785387,2395785380,21.0
1740253013,1740247404,1.0
1834832233,676024957,1.0
1638909068,4358609722,3.0
3864149678,1638909040,1.0
1638909040,2409431626,1.0
2409431626,2409431623,1.0
2409431623,2409431625,1.0
2409431625,4310023170,1.0
4310023170,2409431636,4.0
2409431636,4309797167,4.0
4309797167,2177953822,4.0
2177953822,1638909166,4.0
1834773607,1834773596,1.0
1834720211,1834720120,4.0
1834728320,2670916385,4.0
2670916385,1834728301,4.0
1834728301,1834720120,4.0
3837014309,1638909161,1.0
1638908209,4353509978,2.0
4353509978,1638908227,2.0
1638908977,3815281336,1.0
2672310576,2672310547,2.0
2672310547,2672310540,3.0
2672310540,1834734240,4.0
1834734240,1834728313,4.0
1834728313,2672716973,4.0
3864149685,3864149666,2.0
3864149666,3864149669,2.0
1911019917,1859685650,1.0
3815281191,3815281178,1.0
562873666,1834720211,1.0
2672310844,2672310835,1.0
2672310835,2672310547,1.0
1834803206,1834803215,1.0
1834803215,1834803202,1.0
1886258594,1889319865,18.0
1889319865,1638908291,19.0
1834761077,1834761075,1.0
1834761075,574337172,1.0
574337172,510145272,1.0
3281861270,2672717002,2.0
3864148669,3864148668,1.0
3864148668,3864148665,1.0
3864148665,1638908553,21.0
1638908553,1638908579,21.0
1638908579,1638908647,21.0
