time,shade_ratio
06:00,0.9543261856443508
06:05,0.944767162679225
06:10,0.9345928095903627
06:15,0.9227803937219695
06:20,0.9097236193099965
06:25,0.8971597276337299
06:30,0.8833327601118988
06:35,0.8694298611055347
06:40,0.8553549082599683
06:45,0.8400460701215114
06:50,0.8249652355335334
06:55,0.8096400530463137
07:00,0.7940307791291615
07:05,0.7783291912726276
07:10,0.7624133299536408
07:15,0.7460122727384704
07:20,0.729204639852085
07:25,0.7110904933255121
07:30,0.6929130305384855
07:35,0.6752972089104713
07:40,0.6569805613692427
07:45,0.6375896836191335
07:50,0.6191659003200316
07:55,0.6028536701235059
08:00,0.5876326639541354
08:05,0.5734051504506352
08:10,0.5602640041712205
08:15,0.5474813003003625
08:20,0.5362125836404195
08:25,0.5251663723887752
08:30,0.514375886693644
08:35,0.5040794003541444
08:40,0.49380503454028474
08:45,0.48369461986121454
08:50,0.47419007982464817
08:55,0.46456447033531256
09:00,0.4552133525183825
09:05,0.4471409033536898
09:10,0.4396172252561752
09:15,0.4320316763332584
09:20,0.4243255706224897
09:25,0.4168114535529535
09:30,0.40901844537451026
09:35,0.4016416984095061
09:40,0.39392470395263485
09:45,0.38574963762187725
09:50,0.37713192896459186
09:55,0.368326461698629
10:00,0.3591848548425161
10:05,0.3495198313960994
10:10,0.33955627699791335
10:15,0.3283791443932978
10:20,0.3175050031157737
10:25,0.3054125203416463
10:30,0.2931415669025264
10:35,0.2807124668826849
10:40,0.2677213882381576
10:45,0.25440281864069836
10:50,0.2402777314555793
10:55,0.22766116466752995
11:00,0.21534778615415676
11:05,0.20340599408296323
11:10,0.1918959722399292
11:15,0.18037982458297228
11:20,0.16975743733993032
11:25,0.15975257170035717
11:30,0.15134356980712302
11:35,0.14319231924861614
11:40,0.1356966353191905
11:45,0.12906296112320806
11:50,0.12369659703442626
11:55,0.1189925645004971
12:00,0.115341844273062
12:05,0.11592720672469822
12:10,0.1188958745122182
12:15,0.1231018293526901
12:20,0.12877984522293168
12:25,0.1362977357861701
12:30,0.14482873633560372
12:35,0.15442811636448733
12:40,0.16578071642565217
12:45,0.17775319881049692
12:50,0.18991870084935164
12:55,0.20338555305827183
13:00,0.21699291665851986
13:05,0.23132359257353954
13:10,0.24525386621958778
13:15,0.2596983625802715
13:20,0.2735814096457096
13:25,0.28732494652947377
13:30,0.3007450143977006
13:35,0.31442184279099716
13:40,0.3272872841057069
13:45,0.33976324128644486
13:50,0.35182120078608603
13:55,0.3625825582740126
14:00,0.3732700454388805
14:05,0.3834044792952537
14:10,0.3930834735492837
14:15,0.4018659899606457
14:20,0.4095956243411761
14:25,0.4173875832764324
14:30,0.42461976162942505
14:35,0.4316057105255476
14:40,0.43777959525836924
14:45,0.443378362531185
14:50,0.44918806786434523
14:55,0.45447353763264264
15:00,0.4595104739962179
15:05,0.4655814417557194
15:10,0.47217401151116484
15:15,0.47973793950956295
15:20,0.4881374757575198
15:25,0.49672497853302616
15:30,0.5041126963351393
15:35,0.5126033943818871
15:40,0.5219604441355611
15:45,0.5314872053804341
15:50,0.5407394330384611
15:55,0.5503487958975053
16:00,0.5606354192989583
16:05,0.572596793756119
16:10,0.5861972476217979
16:15,0.6008339723794447
16:20,0.6153670905767382
16:25,0.6306663859126249
16:30,0.6474854544195409
16:35,0.6659951115371632
16:40,0.6849581209768716
16:45,0.7032439818792514
16:50,0.720778179815219
16:55,0.7375500653814409
17:00,0.7540386194881307
17:05,0.7715748223643352
17:10,0.7864015876650816
17:15,0.8010148665036136
17:20,0.8168846249868639
17:25,0.8330340855934085
17:30,0.8483666675965581
17:35,0.862453621329037
17:40,0.8753380275407768
17:45,0.8885199496599051
17:50,0.9010298140107336
17:55,0.9133162266489485
18:00,0.9242861173042176
