measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1418948472663,37.489777,139.932307,3,0.182,0.36,10.009,0.011
1418948472764,37.489777,139.932307,3,0.264,0.414,10.13,0.025
1418948472864,37.489778,139.932307,3,0.284,0.385,10.141,0.043
1418948472965,37.489778,139.932308,3,0.16,0.44,10.031,0.066
1418948473061,37.489778,139.932308,3,0.012,0.506,9.948,0.093
1418948473161,37.489779,139.932308,3,-0.075,0.441,9.938,0.126
1418948473262,37.489779,139.932308,3,-0.021,0.445,9.973,0.165
1418948478262,37.48987,139.932322,3,-0.013,0.45,9.977,2.5
1418948478363,37.489872,139.932323,3,-0.09,0.257,10.055,2.5
1418948478464,37.489874,139.932323,3,-0.177,0.15,10.43,2.5
1418948478564,37.489877,139.932323,3,-0.164,0.248,9.999,2.5
1418948478665,37.489879,139.932324,3,0.113,0.292,9.51,2.5
1418948478761,37.489881,139.932324,3,0.254,0.366,9.292,2.5
1418948478862,37.489884,139.932325,3,0.199,0.309,9.599,2.5
1418948478962,37.489886,139.932325,3,0.184,0.2,10.133,2.5
1418948479063,37.489889,139.932325,3,0.095,0.063,10.293,2.5
1418948479164,37.489891,139.932326,3,0.052,-0.016,10.084,2.5
1418948479264,37.489894,139.932326,3,0.014,0.031,9.784,2.5
1418948479365,37.489896,139.932327,3,-0.087,0.042,9.852,2.5
1418948479461,37.489898,139.932327,3,-0.225,-0.142,9.976,2.5
1418948479561,37.489901,139.932327,3,-0.33,-0.204,10.109,2.5
1418948479662,37.489903,139.932328,3,-0.342,-0.25,10.136,2.5
1418948479763,37.489906,139.932328,3,-0.363,-0.181,10.122,2.5
1418948479864,37.489908,139.932328,3,-0.38,-0.181,10.142,2.5
1418948479964,37.48991,139.932329,3,-0.371,-0.181,9.924,2.5
1418948480065,37.489913,139.932329,3,-0.376,-0.111,9.925,2.5
1418948480161,37.489915,139.932329,3,-0.374,-0.037,10.048,2.5
1418948480261,37.489917,139.932329,3,-0.223,0.025,10.245,2.5
1418948480362,37.48992,139.93233,3,0.055,-0.084,10.326,2.5
1418948480463,37.489922,139.93233,3,0.271,-0.183,10.313,2.5
1418948480563,37.489925,139.93233,3,0.313,-0.07,9.88,2.5
1418948480664,37.489927,139.932331,3,0.27,0.069,9.471,2.5
1418948480765,37.489929,139.932331,3,0.151,0.118,9.657,2.5
1418948480861,37.489931,139.932331,3,-0.077,0.129,10.133,2.5
1418948480961,37.489934,139.932332,3,-0.281,0.13,10.615,2.5
1418948481062,37.489936,139.932332,3,-0.316,0.083,10.468,2.5
1418948481163,37.489938,139.932332,3,-0.247,0.179,9.917,2.5
1418948481263,37.489941,139.932332,3,-0.238,0.218,9.617,2.5
1418948481364,37.489943,139.932333,3,-0.332,0.214,9.899,2.5
1418948481465,37.489945,139.932333,3,-0.405,0.186,10.248,2.5
1418948481561,37.489947,139.932333,3,-0.406,0.03,10.577,2.5
1418948481661,37.48995,139.932332,3,-0.323,-0.132,10.886,2.5
1418948481762,37.489952,139.932332,3,-0.222,-0.18,10.596,2.5
1418948481863,37.489954,139.932332,3,-0.075,-0.095,10.079,2.5
1418948481963,37.489956,139.932331,3,0.058,0.1,9.64,2.5
1418948482064,37.489959,139.932331,3,0.063,0.205,9.663,2.5
