measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1425339879764,37.545323,139.930633,6,-0.178,-0.444,9.532,1.389
1425339879864,37.545322,139.930633,6,-0.326,-0.364,9.581,1.297
1425339879965,37.545322,139.930632,6,-0.48,-0.289,9.582,1.21
1425339880066,37.545321,139.930632,6,-0.473,-0.249,9.572,1.127
1425339880166,37.54532,139.930632,6,-0.408,-0.222,9.588,1.051
1425339880262,37.54532,139.930631,6,-0.396,-0.188,9.587,0.982
1425339880363,37.545319,139.930631,6,-0.413,-0.15,9.565,0.914
1425339880464,37.545319,139.930631,6,-0.381,-0.127,9.569,0.852
1425339880564,37.545318,139.93063,6,-0.308,-0.117,9.575,0.795
1425339880665,37.545318,139.93063,4,-0.318,-0.094,9.566,0.728
1425339880766,37.545319,139.930629,4,-0.399,-0.081,9.562,0.586
1425339880866,37.54532,139.930628,4,-0.449,-0.042,9.588,0.461
1425339880962,37.545321,139.930627,4,-0.417,0.005,9.579,0.355
1425339881063,37.545321,139.930627,4,-0.365,0.039,9.572,0.258
1425339881163,37.545322,139.930626,4,-0.376,0.106,9.588,0.178
1425339881264,37.545322,139.930626,4,-0.423,0.264,9.606,0.112
1425339881365,37.545323,139.930625,4,-0.438,0.453,9.566,0.061
1425339881466,37.545323,139.930625,4,-0.416,0.542,9.545,0.025
1425339881566,37.545323,139.930625,4,-0.421,0.533,9.552,0.005
1425339898661,37.545281,139.931263,4,-0.421,0.369,9.569,7.75
1425339898666,37.545281,139.931263,4,-0.419,0.37,9.567,7.75
1425339898762,37.545281,139.931272,4,-0.233,0.512,9.415,7.75
1425339898863,37.545281,139.93128,4,-0.081,0.545,9.339,7.75
1425339898964,37.545281,139.931289,4,0.126,0.503,9.472,7.75
1425339899064,37.545281,139.931297,4,0.251,0.557,9.555,7.75
1425339899165,37.545281,139.931306,4,0.183,0.583,9.438,7.75
1425339899266,37.545281,139.931314,4,0.232,0.54,9.5,7.75
1425339899366,37.545281,139.931323,4,0.291,0.516,9.645,7.75
1425339899462,37.545281,139.931331,4,0.24,0.556,9.552,7.75
1425339899563,37.545281,139.93134,4,0.278,0.538,9.515,7.75
1425339899663,37.545281,139.931348,4,0.319,0.532,9.592,7.756
1425339908662,37.545227,139.932324,4,0.317,0.532,9.594,10.0
1425339908762,37.545227,139.932336,4,0.012,0.402,9.674,10.0
1425339908863,37.545226,139.932347,4,-0.132,0.284,9.669,10.0
1425339908964,37.545226,139.932358,4,-0.276,0.169,9.821,10.0
1425339909065,37.545226,139.932369,4,-0.518,0.079,9.801,10.0
1425339909165,37.545225,139.932381,4,-0.526,0.052,9.701,10.0
1425339909266,37.545225,139.932392,4,-0.46,0.099,9.587,10.0
1425339909362,37.545225,139.932403,4,-0.351,0.124,9.631,10.0
1425339909462,37.545225,139.932414,4,-0.279,0.093,9.729,10.0
1425339909563,37.545224,139.932425,4,-0.202,0.106,9.533,10.0
1425339909664,37.545224,139.932437,3,-0.067,0.152,9.428,9.996
1425339909765,37.545224,139.932448,3,-0.004,0.131,9.492,9.971
1425339909865,37.545223,139.93246,3,0.131,0.063,9.703,9.946
1425339909966,37.545223,139.932471,3,0.35,0.047,9.628,9.92
1425339910062,37.545223,139.932482,3,0.274,0.002,9.633,9.896
1425339910162,37.545222,139.932493,3,0.089,0.074,9.522,9.871
1425339910263,37.545222,139.932505,3,0.032,0.17,9.445,9.846
1425339910364,37.545222,139.932516,3,0.178,0.101,9.829,9.821
1425339910464,37.545222,139.932527,3,0.056,0.096,9.693,9.796
1425339910565,37.545221,139.932539,3,-0.055,0.094,9.241,9.771
1425339910666,37.545221,139.93255,3,-0.076,0.206,9.091,9.746
1425339910766,37.54522,139.93256,3,-0.218,0.101,9.839,9.721
1425339910862,37.54522,139.932571,3,-0.433,-0.128,10.26,9.696
1425339910963,37.545219,139.932581,3,-0.702,-0.096,9.761,9.671
1425339911064,37.545219,139.932592,3,-0.653,0.238,8.782,9.646
1425339911164,37.545218,139.932603,3,-0.372,0.185,9.615,9.621
1425339911265,37.545218,139.932614,3,-0.282,0.078,10.133,9.595
1425339911366,37.545217,139.932624,3,-0.053,0.021,9.688,9.57
1425339911466,37.545217,139.932635,3,0.081,-0.085,9.373,9.546
1425339911562,37.545216,139.932645,3,0.32,0.038,9.891,9.522
1425339911663,37.545216,139.932655,4,0.496,0.176,9.914,9.497
1425339911764,37.545216,139.932666,4,0.513,0.322,9.291,9.471
1425339911864,37.545215,139.932676,4,0.521,0.334,9.259,9.446
1425339911965,37.545215,139.932687,4,0.407,0.234,9.722,9.421
1425339912066,37.545215,139.932698,4,0.28,0.158,9.796,9.395
1425339912166,37.545214,139.932708,4,0.138,0.065,9.432,9.37
1425339912262,37.545214,139.932718,4,0.003,0.115,9.313,9.346
1425339912363,37.545214,139.932728,4,-0.099,0.254,9.404,9.321
1425339912463,37.545214,139.932739,4,-0.026,0.108,9.79,9.296
1425339912564,37.545213,139.932749,4,0.017,0.008,9.803,9.271
1425339912665,37.545213,139.93276,4,0.098,0.071,9.55,9.25
1425339912766,37.545213,139.93277,4,0.023,0.109,9.28,9.25
1425339912866,37.545213,139.93278,4,0.113,0.196,9.624,9.25
1425339912962,37.545213,139.93279,4,0.191,0.194,9.72,9.25
1425339913063,37.545213,139.932801,4,0.226,0.222,9.393,9.25
1425339913163,37.545212,139.932811,4,0.121,0.235,9.328,9.25
1425339913264,37.545212,139.932822,4,0.004,0.173,9.549,9.25
1425339913365,37.545212,139.932832,4,0.05,0.139,9.675,9.25
1425339913465,37.545212,139.932843,4,0.067,0.131,9.559,9.25
1425339913566,37.545212,139.932853,4,0.176,0.083,9.658,9.25
1425339913662,37.545212,139.932863,3,0.155,0.149,9.596,9.25
1425339913763,37.545212,139.932874,3,0.06,0.114,9.66,9.25
1425339913863,37.545211,139.932885,3,0.061,0.178,9.558,9.25
1425339913964,37.545211,139.932896,3,0.021,0.311,9.405,9.25
1425339914065,37.54521,139.932907,3,0.107,0.177,9.5,9.25
1425339914165,37.54521,139.932918,3,0.102,0.136,9.819,9.25
1425339914266,37.54521,139.932929,3,0.011,0.134,9.613,9.25
1425339914362,37.545209,139.932939,3,0.062,0.15,9.5,9.25
1425339914462,37.545209,139.93295,3,0.059,0.172,9.55,9.25
1425339914563,37.545208,139.932961,3,-0.001,0.196,9.654,9.25
1425339914664,37.545208,139.932971,3,0.094,0.158,9.715,9.246
1425339914765,37.545208,139.932982,3,0.122,0.091,9.716,9.221
1425339914865,37.545207,139.932992,3,0.129,0.147,9.535,9.196
1425339914966,37.545207,139.933003,3,0.169,0.192,9.723,9.17
1425339915062,37.545207,139.933012,3,0.196,0.231,9.617,9.146
1425339915167,37.545206,139.933023,3,0.229,0.266,9.53,9.12
1425339915263,37.545206,139.933033,3,0.229,0.201,9.539,9.096
1425339915362,37.545206,139.933043,3,0.126,0.176,9.581,9.071
1425339915464,37.545206,139.933053,3,0.073,0.204,9.59,9.046
1425339915564,37.545205,139.933063,3,0.047,0.163,9.559,9.021
1425339915666,37.545205,139.933074,4,0.035,0.17,9.581,9.0
1425339915762,37.545206,139.933083,4,0.022,0.171,9.607,9.0
1425339915862,37.545206,139.933093,4,-0.036,0.166,9.564,9.0
1425339915963,37.545207,139.933103,4,-0.102,0.17,9.609,9.0
1425339916064,37.545207,139.933113,4,-0.108,0.198,9.718,9.0
1425339916164,37.545208,139.933123,4,-0.138,0.219,9.606,9.0
1425339916265,37.545208,139.933133,4,-0.142,0.289,9.545,9.0
1425339916366,37.545209,139.933144,4,-0.169,0.307,9.471,9.0
1425339916462,37.545209,139.933153,4,-0.062,0.258,9.781,9.0
1425339916562,37.54521,139.933163,4,-0.089,0.289,9.647,9.0
1425339916663,37.54521,139.933173,4,-0.059,0.263,9.395,9.0
1425339927660,37.54519,139.934353,4,-0.061,0.254,9.385,9.5
1425339929663,37.545172,139.934575,6,-0.06,0.245,9.382,9.497
1425339939660,37.545126,139.935729,4,-0.055,0.237,9.38,10.75
1425339939665,37.545126,139.93573,4,-0.049,0.229,9.379,10.75
1425339939765,37.545125,139.935741,4,0.021,0.003,9.487,10.75
1425339939866,37.545125,139.935753,4,-0.127,-0.012,9.516,10.75
1425339939962,37.545124,139.935764,4,-0.184,0.085,9.764,10.75
1425339940063,37.545124,139.935776,4,-0.186,0.272,9.25,10.75
1425339940163,37.545123,139.935788,4,-0.096,0.275,9.076,10.75
1425339940264,37.545123,139.935799,4,-0.103,-0.012,9.727,10.75
1425339940365,37.545122,139.935811,4,-0.067,-0.252,10.132,10.75
1425339940465,37.545122,139.935823,4,-0.07,-0.297,9.625,10.75
1425339940566,37.545121,139.935834,4,0.045,-0.081,9.338,10.75
1425339940662,37.545121,139.935845,4,0.042,0.138,9.367,10.75
1425339940762,37.54512,139.935858,4,0.01,0.059,9.816,10.75
1425339940863,37.545119,139.93587,4,-0.087,-0.145,10.012,10.75
1425339940964,37.545118,139.935883,4,-0.026,-0.217,9.501,10.75
1425339941065,37.545118,139.935895,4,0.022,-0.173,9.622,10.75
1425339941165,37.545117,139.935907,4,0.059,0.017,9.452,10.75
