measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1428469290132,37.50702,139.93041,3,0.217,0.187,9.515,2.75
1428469290233,37.50702,139.930413,3,0.18,0.249,9.536,2.75
1428469290333,37.507019,139.930416,3,0.157,0.31,9.437,2.75
1428469290429,37.507019,139.930419,3,0.145,0.322,9.497,2.75
1428469290530,37.507019,139.930422,4,0.185,0.428,9.408,2.75
1428469290631,37.507019,139.930424,4,0.107,0.403,9.486,2.75
1428469290731,37.507018,139.930427,4,0.112,0.394,9.585,2.75
1428469290832,37.507018,139.93043,4,0.135,0.447,9.557,2.75
1428469290933,37.507018,139.930433,4,0.121,0.588,9.259,2.75
1428469291033,37.507018,139.930436,4,0.188,0.728,9.006,2.75
1428469291129,37.507018,139.930438,4,0.09,0.534,9.685,2.75
1428469291230,37.507017,139.930441,4,0.262,0.335,10.443,2.75
1428469291331,37.507017,139.930444,4,0.26,0.633,9.685,2.75
1428469291431,37.507017,139.930447,4,0.19,0.911,9.112,2.75
1428469291532,37.507017,139.93045,4,0.167,0.957,9.029,2.75
1428469291633,37.507016,139.930453,4,0.12,0.878,9.517,2.75
1428469291733,37.507016,139.930456,4,-0.033,0.793,9.74,2.75
1428469291829,37.507015,139.930459,4,-0.11,0.798,9.279,2.75
1428469291930,37.507015,139.930462,4,-0.057,0.962,9.35,2.75
1428469292030,37.507014,139.930465,4,-0.092,0.94,9.304,2.75
1428469292131,37.507014,139.930468,4,0.0,0.838,9.408,2.75
1428469292232,37.507013,139.930471,4,0.053,0.702,9.413,2.75
1428469292333,37.507013,139.930474,4,0.038,0.774,9.416,2.75
1428469292433,37.507012,139.930477,4,0.254,1.009,9.71,2.75
1428469292529,37.507011,139.93048,3,0.574,0.834,9.739,2.771
1428469292630,37.507011,139.930483,3,0.439,0.603,9.771,2.796
1428469292730,37.50701,139.930486,3,0.084,0.597,9.551,2.82
1428469292831,37.507009,139.930489,3,-0.03,0.814,9.322,2.845
1428469292932,37.507009,139.930492,3,-0.088,0.856,9.306,2.87
1428469293032,37.507008,139.930496,3,-0.156,0.738,9.369,2.895
1428469293129,37.507007,139.930499,3,-0.216,0.721,9.39,2.92
1428469293229,37.507007,139.930502,3,-0.132,0.799,9.346,2.945
1428469293330,37.507006,139.930505,3,0.066,0.785,9.316,2.971
1428469293430,37.507005,139.930509,3,0.037,0.852,8.968,2.997
1428469293531,37.507004,139.930512,3,0.344,0.818,9.01,3.0
1428469293632,37.507003,139.930516,3,0.098,0.536,9.934,3.0
1428469293732,37.507003,139.930519,3,-0.098,0.377,10.072,3.0
1428469293833,37.507002,139.930523,3,-0.026,0.258,10.081,3.0
1428469293929,37.507001,139.930526,3,-0.1,0.565,9.078,3.0
1428469294029,37.507,139.93053,3,-0.122,0.709,8.816,3.0
1428469294130,37.506999,139.930533,3,-0.071,0.49,9.332,3.0
1428469294231,37.506999,139.930537,3,-0.014,0.278,9.742,3.0
1428469294332,37.506998,139.93054,3,-0.032,0.335,9.421,3.0
1428469294432,37.506997,139.930544,3,0.055,0.419,9.161,3.0
1428469294533,37.506996,139.930548,3,0.195,0.499,9.559,3.081
1428469294629,37.506996,139.930552,3,0.019,0.489,9.651,3.167
1428469294729,37.506995,139.930557,3,-0.093,0.472,9.445,3.26
1428469294830,37.506994,139.930561,3,-0.068,0.317,9.432,3.356
1428469294931,37.506993,139.930566,3,0.0,0.217,9.423,3.455
1428469295032,37.506992,139.930571,3,-0.01,0.28,9.409,3.557
1428469295132,37.506991,139.930576,3,-0.017,0.381,9.439,3.662
