measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1427846480521,37.500947,139.943067,5,0.036,0.12,9.612,12.755
1427846480617,37.500936,139.943071,6,0.133,0.03,9.563,12.731
1427846480717,37.500925,139.943075,6,0.136,-0.024,9.705,12.705
1427846480818,37.500914,139.943079,6,0.233,-0.076,9.764,12.68
1427846480919,37.500903,139.943083,6,0.305,-0.083,9.658,12.655
1427846481020,37.500892,139.943087,6,0.266,-0.095,9.707,12.629
1427846481120,37.500881,139.943091,6,0.32,-0.128,9.595,12.604
1427846481221,37.50087,139.943095,6,0.296,-0.141,9.593,12.579
1427846481317,37.500859,139.943098,6,0.299,-0.135,9.82,12.555
1427846481417,37.500848,139.943102,6,0.233,-0.131,9.583,12.53
1427846481518,37.500837,139.943106,6,0.151,-0.124,9.47,12.505
1427846481619,37.500826,139.943109,7,0.074,-0.113,9.683,12.5
1427846481719,37.500815,139.943112,7,0.153,-0.154,9.802,12.5
1427846481820,37.500803,139.943114,7,0.125,-0.13,9.686,12.5
1427846481921,37.500792,139.943117,7,0.119,-0.102,9.54,12.5
1427846482017,37.500781,139.943119,7,0.211,-0.064,9.507,12.5
1427846482117,37.500769,139.943122,7,0.307,-0.137,9.566,12.5
1427846482218,37.500758,139.943125,7,0.327,-0.143,9.716,12.5
1427846482319,37.500746,139.943127,7,0.341,-0.131,9.829,12.5
1427846482419,37.500735,139.94313,7,0.372,-0.11,9.903,12.5
1427846482520,37.500723,139.943132,7,0.386,-0.11,9.681,12.5
1427846482621,37.500712,139.943136,8,0.361,-0.131,9.474,12.48
1427846482717,37.500702,139.943139,8,0.289,-0.146,9.615,12.455
1427846482817,37.500691,139.943143,8,0.243,-0.157,9.859,12.43
1427846482918,37.50068,139.943146,8,0.258,-0.108,9.771,12.405
1427846483019,37.500669,139.94315,8,0.35,-0.112,9.489,12.38
1427846483119,37.500658,139.943153,8,0.396,-0.234,9.4,12.355
1427846483220,37.500647,139.943157,8,0.414,-0.46,9.456,12.329
1427846483321,37.500636,139.94316,8,0.39,-0.648,9.537,12.304
1427846483422,37.500626,139.943164,8,0.338,-0.727,9.634,12.279
1427846483517,37.500615,139.943167,8,0.329,-0.799,9.797,12.256
1427846483618,37.500605,139.943168,10,0.326,-0.783,9.731,12.199
1427846483719,37.500595,139.943169,10,0.337,-0.734,9.597,12.133
1427846483819,37.500586,139.943169,10,0.357,-0.641,9.485,12.068
1427846483920,37.500576,139.94317,10,0.364,-0.598,9.576,12.002
1427846484021,37.500566,139.943171,10,0.333,-0.616,9.765,11.937
1427846484121,37.500557,139.943171,10,0.309,-0.662,9.649,11.873
1427846484217,37.500547,139.943172,10,0.283,-0.679,9.662,11.812
1427846484318,37.500538,139.943172,10,0.238,-0.643,9.752,11.748
1427846484418,37.500528,139.943173,10,0.214,-0.485,9.636,11.685
1427846484519,37.500519,139.943173,10,0.253,-0.326,9.54,11.621
1427846484620,37.50051,139.943174,10,0.263,-0.201,9.678,11.558
1427846484721,37.5005,139.943174,10,0.272,-0.175,9.661,11.496
1427846484821,37.500491,139.943175,10,0.246,-0.131,9.606,11.434
1427846484917,37.500482,139.943175,10,0.168,-0.121,9.731,11.375
1427846485018,37.500473,139.943175,10,0.147,-0.14,9.658,11.313
1427846485118,37.500464,139.943176,10,0.167,-0.086,9.692,11.253
1427846485219,37.500455,139.943176,10,0.146,-0.094,9.696,11.192
1427846485320,37.500446,139.943177,10,0.16,-0.081,9.532,11.131
1427846485420,37.500437,139.943177,10,0.153,-0.079,9.531,11.071
1427846485521,37.500428,139.943178,10,0.191,-0.103,9.668,11.011
1427846485617,37.500419,139.943179,10,0.193,-0.104,9.87,10.981
1427846485718,37.500409,139.943181,10,0.207,-0.124,9.67,10.955
1427846485818,37.5004,139.943182,10,0.255,-0.109,9.637,10.93
