measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1426309409232,37.507197,139.931945,5,0.156,0.044,9.455,3.783
1426309409332,37.507196,139.931948,5,0.153,-0.041,9.463,3.722
1426309409433,37.507196,139.931951,5,0.16,-0.115,9.459,3.669
1426309409534,37.507195,139.931954,5,0.139,-0.136,9.566,3.616
1426309409634,37.507194,139.931957,5,0.117,-0.147,9.478,3.565
1426309409735,37.507193,139.93196,5,0.122,-0.156,9.429,3.514
1426309409831,37.507192,139.931963,5,0.137,-0.173,9.451,3.466
1426309409932,37.507191,139.931966,5,0.146,-0.153,9.431,3.416
1426309410032,37.50719,139.931969,5,0.084,-0.179,9.479,3.367
1426309410133,37.507189,139.931972,5,0.044,-0.181,9.459,3.319
1426309410234,37.507188,139.931975,5,0.063,-0.163,9.338,3.271
1426309410334,37.507187,139.931978,5,0.132,-0.128,9.381,3.236
1426309410435,37.507186,139.931981,5,0.164,-0.131,9.356,3.21
1426309410531,37.507185,139.931984,5,0.157,-0.162,9.473,3.185
1426309410631,37.507184,139.931988,5,0.084,-0.186,9.547,3.16
1426309410732,37.507183,139.931991,5,0.05,-0.162,9.492,3.135
1426309410833,37.507182,139.931994,5,0.028,-0.123,9.261,3.109
1426309410934,37.507181,139.931997,5,0.015,-0.149,9.294,3.084
1426309411034,37.50718,139.932,5,0.043,-0.236,9.416,3.06
1426309411135,37.507179,139.932004,5,0.095,-0.32,9.467,3.035
1426309411231,37.507178,139.932006,5,0.15,-0.331,9.467,3.012
1426309411331,37.507178,139.932009,5,0.193,-0.282,9.531,2.987
1426309411432,37.507177,139.932012,5,0.133,-0.166,9.499,2.961
1426309411533,37.507176,139.932014,5,0.055,-0.058,9.344,2.935
1426309411633,37.507175,139.932017,5,0.059,0.026,9.351,2.909
1426309411734,37.507175,139.932019,5,0.054,0.062,9.53,2.884
1426309411835,37.507174,139.932022,5,0.1,0.106,9.5,2.859
1426309411931,37.507173,139.932024,5,0.111,0.101,9.366,2.835
1426309412031,37.507173,139.932026,5,0.111,0.127,9.375,2.81
1426309412132,37.507172,139.932029,5,0.137,0.136,9.434,2.786
1426309412233,37.507171,139.932031,5,0.119,0.106,9.456,2.761
1426309412333,37.50717,139.932033,6,0.093,0.054,9.407,2.736
1426309412434,37.507168,139.932036,6,0.194,-0.194,9.294,2.71
1426309412535,37.507167,139.932038,6,0.293,-0.549,9.248,2.684
1426309412631,37.507165,139.93204,6,0.335,-0.93,9.357,2.66
1426309412731,37.507163,139.932042,6,0.314,-1.183,9.561,2.634
1426309412832,37.507161,139.932044,6,0.279,-1.268,9.762,2.609
1426309412933,37.50716,139.932047,6,0.209,-1.01,9.79,2.584
1426309413033,37.507158,139.932049,6,0.203,-0.729,9.477,2.56
1426309413134,37.507156,139.932051,6,0.207,-0.528,9.17,2.535
1426309413235,37.507155,139.932053,6,0.186,-0.433,9.126,2.511
1426309413335,37.507153,139.932055,7,0.15,-0.457,9.35,2.47
1426309413431,37.507152,139.932056,7,0.13,-0.494,9.543,2.417
1426309413532,37.507151,139.932057,7,0.159,-0.464,9.597,2.364
1426309413633,37.50715,139.932058,7,0.169,-0.428,9.414,2.311
1426309413733,37.507149,139.932059,7,0.197,-0.413,9.311,2.26
1426309413834,37.507148,139.93206,7,0.223,-0.402,9.42,2.209
1426309413935,37.507147,139.932061,7,0.222,-0.411,9.557,2.16
1426309414035,37.507145,139.932062,7,0.189,-0.435,9.543,2.112
1426309414131,37.507144,139.932063,7,0.149,-0.416,9.426,2.067
1426309414232,37.507143,139.932064,7,0.109,-0.309,9.439,2.021
1426309414333,37.507145,139.932063,7,0.088,-0.134,9.522,1.794
1426309414433,37.507148,139.932061,7,0.091,0.006,9.455,1.435
1426309414534,37.50715,139.93206,7,0.145,0.103,9.383,1.113
1426309414635,37.507152,139.932058,7,0.153,0.131,9.335,0.832
1426309414735,37.507154,139.932057,7,0.141,0.125,9.442,0.594
1426309414831,37.507156,139.932056,7,0.127,0.129,9.523,0.403
1426309414932,37.507157,139.932055,7,0.112,0.15,9.497,0.242
1426309415032,37.507158,139.932055,7,0.096,0.167,9.392,0.123
1426309415133,37.507159,139.932054,7,0.121,0.183,9.376,0.043
1426309527226,37.506727,139.933777,6,0.146,0.197,9.418,6.25
1426309527231,37.506726,139.933778,6,0.151,0.206,9.421,6.25
1426309527332,37.506724,139.933784,6,0.183,-0.138,9.428,6.223
1426309527433,37.506723,139.93379,6,0.231,-0.496,9.509,6.171
1426309527533,37.506722,139.933796,6,0.221,-0.653,9.517,6.12
1426309527634,37.506721,139.933802,6,0.222,-0.633,9.408,6.068
1426309527735,37.50672,139.933808,6,0.202,-0.717,9.41,6.017
1426309527835,37.506719,139.933814,6,0.228,-0.706,9.501,5.967
1426309527931,37.506718,139.93382,6,0.226,-0.728,9.5,5.92
1426309528032,37.506717,139.933826,6,0.209,-0.665,9.543,5.87
1426309528133,37.506716,139.933832,6,0.143,-0.663,9.462,5.821
1426309528233,37.506715,139.933837,6,0.129,-0.603,9.413,5.773
1426309528334,37.506715,139.933843,5,0.095,-0.653,9.459,5.639
1426309528435,37.506715,139.933848,5,0.123,-0.646,9.516,5.438
1426309528535,37.506715,139.933852,5,0.107,-0.719,9.475,5.244
1426309528631,37.506715,139.933857,5,0.097,-0.734,9.515,5.064
1426309528732,37.506715,139.933861,5,0.101,-0.702,9.505,4.881
1426309528832,37.506716,139.933866,5,0.119,-0.693,9.402,4.706
1426309528933,37.506716,139.93387,5,0.132,-0.723,9.414,4.536
1426309529034,37.506716,139.933874,5,0.177,-0.681,9.508,4.372
1426309529135,37.506716,139.933878,5,0.18,-0.695,9.477,4.215
1426309529235,37.506716,139.933881,5,0.172,-0.669,9.453,4.065
1426309529331,37.506716,139.933885,4,0.161,-0.695,9.503,3.958
1426309529437,37.506715,139.933889,4,0.171,-0.659,9.464,3.872
1426309529532,37.506715,139.933893,4,0.204,-0.626,9.414,3.796
1426309529631,37.506714,139.933896,4,0.256,-0.586,9.482,3.719
1426309529734,37.506714,139.9339,4,0.29,-0.587,9.52,3.64
1426309529833,37.506713,139.933904,4,0.274,-0.604,9.435,3.566
1426309529935,37.506713,139.933907,4,0.244,-0.652,9.453,3.491
1426309530031,37.506712,139.933911,4,0.213,-0.629,9.533,3.422
1426309530132,37.506712,139.933914,4,0.22,-0.597,9.551,3.351
1426309530232,37.506711,139.933917,4,0.213,-0.532,9.472,3.282
1426309530333,37.506711,139.93392,4,0.222,-0.51,9.494,3.199
1426309530434,37.50671,139.933923,4,0.232,-0.456,9.488,3.103
1426309530534,37.506709,139.933926,4,0.254,-0.384,9.457,3.01
1426309530635,37.506708,139.933928,4,0.259,-0.306,9.472,2.918
1426309530731,37.506708,139.933931,4,0.242,-0.239,9.474,2.833
1426309530831,37.506707,139.933933,4,0.202,-0.236,9.47,2.747
1426309530932,37.506706,139.933935,4,0.16,-0.206,9.422,2.662
1426309531033,37.506706,139.933938,4,0.134,-0.2,9.419,2.58
1426309531134,37.506705,139.93394,4,0.141,-0.167,9.413,2.499
1426309531234,37.506704,139.933942,4,0.169,-0.171,9.511,2.422
1426309531335,37.506704,139.933944,4,0.18,-0.171,9.528,2.347
1426309531431,37.506703,139.933946,4,0.147,-0.186,9.547,2.277
1426309531531,37.506703,139.933948,4,0.086,-0.204,9.487,2.206
1426309531632,37.506702,139.93395,4,0.093,-0.2,9.497,2.137
1426309531733,37.506702,139.933952,4,0.124,-0.184,9.49,2.071
