measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1418024457656,37.507499,139.931443,15,0.289,0.776,10.409,7.75
1418024457757,37.507506,139.931446,7,0.33,0.454,10.101,7.75
1418024457858,37.507514,139.931449,7,0.35,0.128,10.147,7.75
1418024457958,37.507521,139.931452,7,0.378,-0.021,10.151,7.75
1418024458054,37.507528,139.931455,7,0.258,-0.169,10.171,7.75
1418024458155,37.507536,139.931458,7,0.202,-0.214,10.421,7.75
1418024458255,37.507543,139.931461,7,0.091,-0.214,10.434,7.75
1418024458356,37.507551,139.931465,7,0.042,-0.108,10.055,7.75
1418024458457,37.507558,139.931468,7,0.095,-0.062,9.69,7.75
1418024458557,37.507565,139.931471,7,0.234,-0.13,9.902,7.75
1418024458658,37.507573,139.931474,7,0.372,-0.202,10.258,7.75
1418024458754,37.50758,139.931477,8,0.47,-0.229,10.355,7.796
1418024458855,37.507588,139.931479,8,0.578,-0.215,10.187,7.845
1418024458955,37.507596,139.931482,8,0.555,-0.165,10.025,7.894
1418024459056,37.507603,139.931485,8,0.545,-0.194,10.102,7.944
1418024459157,37.507611,139.931488,8,0.496,-0.21,10.06,7.995
1418024459257,37.507619,139.931491,8,0.419,-0.188,9.948,8.045
1418024459358,37.507627,139.931493,8,0.369,-0.061,9.802,8.096
1418024459454,37.507635,139.931496,8,0.328,0.017,9.837,8.144
1418024459554,37.507643,139.931499,8,0.291,0.04,9.948,8.196
1418024459655,37.507651,139.931502,8,0.269,-0.011,10.042,8.247
1418024459756,37.507657,139.931505,10,0.295,-0.006,10.113,8.25
1418024459857,37.507664,139.931509,10,0.33,-0.033,10.21,8.25
1418024459957,37.50767,139.931513,10,0.309,0.067,10.216,8.25
1418024460058,37.507677,139.931516,10,0.248,0.074,9.985,8.25
1418024460154,37.507683,139.93152,10,0.226,0.088,10.023,8.25
1418024460255,37.50769,139.931523,10,0.244,0.101,10.177,8.25
1418024460355,37.507696,139.931527,10,0.272,0.095,10.215,8.25
1418024460456,37.507703,139.931531,10,0.323,0.225,10.101,8.25
1418024460557,37.507709,139.931534,10,0.311,0.247,10.005,8.25
1418024460657,37.507716,139.931538,10,0.276,0.378,9.909,8.25
1418024460758,37.507723,139.931542,10,0.255,0.442,9.846,8.2
1418024460854,37.50773,139.931546,10,0.244,0.442,10.06,8.151
1418024460954,37.507737,139.93155,10,0.182,0.433,10.311,8.1
1418024461055,37.507744,139.931554,10,0.141,0.452,10.277,8.049
1418024461156,37.507751,139.931558,10,0.128,0.58,9.984,7.998
1418024461256,37.507758,139.931562,10,0.119,0.613,9.692,7.948
1418024461357,37.507765,139.931566,10,0.11,0.66,9.681,7.898
1418024461458,37.507771,139.93157,10,0.126,0.671,9.887,7.848
1418024461554,37.507778,139.931574,10,0.115,0.51,10.152,7.802
1418024461654,37.507785,139.931578,10,0.108,0.526,10.21,7.753
1418024461755,37.507791,139.931581,8,-0.005,0.529,10.026,7.701
1418024461856,37.507797,139.931585,8,0.064,0.599,10.169,7.649
1418024461956,37.507803,139.931588,8,0.016,0.493,10.313,7.599
1418024462057,37.507808,139.931591,8,0.02,0.513,10.219,7.548
1418024462158,37.507814,139.931595,8,-0.072,0.619,9.677,7.497
1418024462254,37.50782,139.931598,8,-0.098,0.712,9.367,7.449
1418024462354,37.507826,139.931601,8,-0.008,0.79,9.542,7.399
1418024462455,37.507831,139.931604,8,0.146,0.651,9.835,7.35
1418024462556,37.507837,139.931608,8,0.226,0.539,10.16,7.3
1418024462656,37.507843,139.931611,8,0.308,0.395,10.362,7.252
1418024462757,37.50785,139.931614,7,0.354,0.398,10.558,7.341
1418024462858,37.507858,139.931617,7,0.474,0.45,10.539,7.438
1418024462958,37.507865,139.93162,7,0.38,0.52,10.214,7.535
1418024463054,37.507873,139.931623,7,0.273,0.633,9.84,7.629
1418024463155,37.507881,139.931626,7,0.255,0.69,9.471,7.729
1418024463256,37.507889,139.931629,7,0.296,0.61,9.784,7.83
1418024463356,37.507897,139.931632,7,0.422,0.451,10.17,7.932
1418024463457,37.507905,139.931635,7,0.431,0.316,10.586,8.037
1418024463558,37.507913,139.931639,7,0.378,0.214,10.585,8.142
1418024463658,37.507922,139.931642,7,0.304,0.198,10.118,8.248
1418024463754,37.507929,139.931645,7,0.341,0.146,9.713,8.273
1418024463860,37.507938,139.931648,7,0.556,0.116,9.741,8.299
1418024463956,37.507945,139.931651,7,0.717,0.045,10.056,8.323
1418024464055,37.507953,139.931654,7,0.831,-0.08,10.243,8.348
1418024464157,37.507961,139.931657,7,0.797,-0.188,10.374,8.373
1418024464256,37.507969,139.93166,7,0.74,-0.202,10.48,8.398
1418024464358,37.507978,139.931664,7,0.664,-0.107,10.138,8.424
1418024464454,37.507985,139.931667,7,0.61,-0.055,9.781,8.448
1418024464555,37.507993,139.93167,7,0.532,-0.074,9.899,8.473
1418024464655,37.508002,139.931673,7,0.481,-0.175,10.276,8.499
1418024464756,37.508009,139.931677,7,0.47,-0.21,10.46,8.547
