measurement_ms	latitude	longitude	gps_error_meter	accel_x_transverse	accel_y_longitudinal	accel_z_vertical	speed
1428382918176	37.506928	139.930692	7	0.285	0.662	9.215	5.500
1428382918277	37.506926	139.930698	7	0.189	0.224	9.088	5.500
1428382918378	37.506924	139.930704	10	0.228	-0.137	9.418	5.500
1428382918478	37.506923	139.930710	10	0.282	-0.311	9.761	5.500
1428382918579	37.506921	139.930716	10	0.339	-0.396	9.727	5.500
1428382918675	37.506919	139.930721	10	0.279	-0.405	9.611	5.500
1428382918775	37.506918	139.930727	10	0.304	-0.423	9.620	5.500
1428382918876	37.506916	139.930733	10	0.258	-0.441	9.644	5.500
1428382918977	37.506914	139.930739	10	0.201	-0.494	9.582	5.500
1428382919078	37.506913	139.930745	10	0.214	-0.447	9.712	5.500
1428382919178	37.506911	139.930750	10	0.329	-0.477	9.834	5.500
1428382919279	37.506909	139.930756	10	0.299	-0.394	9.506	5.500
1428382919375	37.506909	139.930763	10	0.254	-0.388	9.465	5.407
1428382919475	37.506910	139.930770	10	0.184	-0.465	9.640	5.300
1428382919576	37.506910	139.930778	10	0.219	-0.495	9.771	5.194
1428382919677	37.506910	139.930785	10	0.211	-0.432	9.560	5.089
1428382919777	37.506911	139.930791	10	0.248	-0.454	9.730	4.988
1428382919878	37.506911	139.930798	10	0.472	-0.505	9.940	4.888
1428382919979	37.506911	139.930805	10	0.365	-0.337	9.434	4.790
1428382920075	37.506911	139.930811	10	0.217	-0.366	9.329	4.698
1428382920175	37.506912	139.930817	10	0.100	-0.513	9.726	4.605
1428382920276	37.506912	139.930823	10	0.005	-0.492	9.682	4.513
1428382920377	37.506907	139.930825	14	-0.006	-0.353	9.483	4.429
1428382920477	37.506902	139.930825	14	0.162	-0.363	9.637	4.349
1428382920578	37.506897	139.930826	14	0.247	-0.451	9.762	4.270
1428382920679	37.506892	139.930826	14	0.364	-0.497	9.680	4.192
1428382920779	37.506887	139.930827	14	0.460	-0.504	9.506	4.116
1428382920875	37.506882	139.930828	14	0.433	-0.586	9.460	4.045
