measurement_ms	latitude	longitude	gps_error_meter	accel_x_transverse	accel_y_longitudinal	accel_z_vertical	speed
1423640746129	37.539112	139.944080	12	0.177	0.431	9.507	16.748
1423640746225	37.539125	139.944086	12	0.252	0.330	9.549	16.724
1423640746325	37.539138	139.944093	12	0.271	0.254	9.627	16.698
1423640746426	37.539152	139.944101	12	0.268	0.176	9.687	16.673
1423640746527	37.539165	139.944108	12	0.282	0.331	9.180	16.648
1423640746628	37.539179	139.944115	12	0.235	0.433	9.021	16.623
1423640746728	37.539192	139.944122	12	0.165	0.225	9.346	16.598
1423640746829	37.539206	139.944129	12	0.145	0.053	9.612	16.572
1423640746925	37.539218	139.944135	12	0.163	0.170	9.411	16.548
1423640747025	37.539231	139.944142	12	0.207	0.293	9.201	16.524
1423640747126	37.539245	139.944149	12	0.188	0.229	9.400	16.500
1423640747227	37.539259	139.944157	12	0.208	0.098	9.662	16.500
1423640747327	37.539273	139.944164	12	0.224	0.152	9.615	16.500
1423640747428	37.539287	139.944171	12	0.219	0.231	9.394	16.500
1423640747529	37.539300	139.944178	12	0.178	0.222	9.426	16.500
1423640747625	37.539314	139.944185	12	0.220	0.219	9.368	16.500
1423640747725	37.539327	139.944193	12	0.191	0.245	9.389	16.500
1423640747826	37.539341	139.944200	12	0.106	0.140	9.541	16.500
1423640747927	37.539355	139.944207	12	0.046	0.123	9.474	16.500
1423640748027	37.539369	139.944214	12	-0.044	0.124	9.422	16.500
1423640748128	37.539383	139.944221	12	-0.066	0.186	9.245	16.500
1423640748229	37.539397	139.944227	12	0.038	0.105	9.361	16.500
1423640748329	37.539411	139.944232	12	0.039	0.129	9.124	16.500
1423640748425	37.539425	139.944238	12	0.041	0.183	8.891	16.500
1423640748526	37.539439	139.944243	12	0.003	0.064	9.393	16.500
1423640748627	37.539453	139.944249	12	-0.000	-0.093	9.696	16.500
1423640748727	37.539468	139.944254	12	-0.030	0.041	9.466	16.500
1423640748828	37.539482	139.944260	12	-0.050	0.166	9.281	16.500
1423640748929	37.539496	139.944265	12	-0.055	0.134	9.314	16.500
1423640749029	37.539510	139.944271	12	-0.019	0.063	9.514	16.500
1423640749125	37.539524	139.944276	14	-0.012	0.004	9.554	16.497
1423640749226	37.539536	139.944284	14	0.013	0.088	9.432	16.446
1423640749327	37.539549	139.944291	14	0.083	0.178	9.384	16.395
1423640749427	37.539561	139.944298	14	0.152	0.143	9.387	16.345
1423640749528	37.539573	139.944306	14	0.203	0.064	9.605	16.294
1423640749629	37.539586	139.944313	14	0.229	0.019	9.621	16.244
1423640749729	37.539598	139.944320	14	0.148	0.173	9.483	16.194
1423640749825	37.539609	139.944327	14	0.154	0.222	9.356	16.146
1423640749926	37.539622	139.944334	14	0.138	0.205	9.379	16.096
1423640750026	37.539634	139.944341	14	0.025	0.232	9.333	16.046
1423640750127	37.539646	139.944349	14	0.020	0.210	9.320	16.000
1423640750228	37.539659	139.944356	14	0.031	0.199	9.436	16.000
1423640750328	37.539672	139.944364	14	0.051	0.165	9.424	16.000
1423640750429	37.539685	139.944371	14	0.103	0.160	9.320	16.000
1423640750525	37.539698	139.944379	14	0.044	0.187	9.343	16.000
1423640750626	37.539711	139.944386	14	-0.032	0.212	9.323	16.000
1423640750726	37.539724	139.944394	14	-0.174	0.235	9.375	16.000
1423640750827	37.539737	139.944402	14	-0.317	0.261	9.393	16.000
1423640750928	37.539750	139.944409	14	-0.465	0.326	9.353	16.000
1423640751028	37.539763	139.944417	14	-0.455	0.343	9.300	16.000
1423640751129	37.539776	139.944424	13	-0.470	0.288	9.493	16.002
1423640751225	37.539789	139.944430	13	-0.488	0.257	9.541	16.026
1423640751325	37.539802	139.944435	13	-0.432	0.306	9.397	16.051
1423640751426	37.539815	139.944441	13	-0.425	0.315	9.408	16.076
1423640751527	37.539829	139.944447	13	-0.488	0.339	9.124	16.101
1423640751628	37.539842	139.944452	13	-0.522	0.382	9.311	16.127
1423640751728	37.539856	139.944458	13	-0.577	0.202	9.884	16.152
1423640751829	37.539869	139.944464	13	-0.565	0.064	10.121	16.177
1423640751925	37.539882	139.944469	13	-0.513	0.223	9.593	16.201
1423640752025	37.539895	139.944475	13	-0.566	0.611	8.949	16.226
1423640752126	37.539909	139.944480	12	-0.650	0.622	8.725	16.248
1423640752227	37.539922	139.944485	12	-0.832	0.405	8.825	16.223
1423640752328	37.539935	139.944490	12	-0.814	0.214	9.473	16.198
1423640752428	37.539948	139.944495	12	-0.774	0.105	9.799	16.173
1423640752529	37.539961	139.944501	12	-0.715	0.168	9.746	16.147
1423640752625	37.539974	139.944505	12	-0.596	0.337	9.575	16.123
1423640752725	37.539987	139.944510	12	-0.598	0.295	9.770	16.098
1423640752826	37.540000	139.944515	12	-0.408	0.210	10.003	16.073
1423640752927	37.540013	139.944520	12	-0.237	0.244	9.549	16.048
1423640753027	37.540026	139.944525	12	-0.107	0.417	9.160	16.023
1423640753128	37.540039	139.944530	14	-0.144	0.369	9.302	16.000
1423640753229	37.540056	139.944536	14	-0.328	0.238	9.524	16.000
1423640753325	37.540072	139.944541	14	-0.418	0.346	9.040	16.000
1423640753425	37.540089	139.944547	14	-0.497	0.470	8.892	16.000
1423640753526	37.540105	139.944553	14	-0.570	0.318	9.231	16.000
1423640753627	37.540122	139.944558	14	-0.604	0.176	9.599	16.000
1423640753727	37.540139	139.944564	14	-0.547	0.251	9.655	16.000
1423640753828	37.540156	139.944570	14	-0.468	0.259	9.811	16.000
1423640753929	37.540172	139.944575	14	-0.535	0.311	9.569	16.000
1423640754030	37.540189	139.944581	14	-0.618	0.373	9.288	16.000
1423640754125	37.540205	139.944586	14	-0.411	0.562	8.694	15.999
1423640754231	37.540218	139.944591	14	-0.434	0.476	9.178	15.972
1423640754327	37.540230	139.944596	14	-0.565	0.150	10.017	15.948
1423640754426	37.540242	139.944600	14	-0.441	0.080	9.932	15.923
1423640754528	37.540255	139.944605	14	-0.297	0.412	9.286	15.898
1423640754627	37.540267	139.944609	14	-0.400	0.623	8.730	15.873
1423640754729	37.540280	139.944614	14	-0.551	0.427	9.116	15.847
1423640754825	37.540292	139.944619	14	-0.358	0.126	9.507	15.823
1423640754926	37.540304	139.944623	14	-0.467	0.029	9.943	15.798
1423640755027	37.540317	139.944628	14	-0.764	0.420	9.441	15.773
1423640755127	37.540329	139.944632	13	-0.749	0.397	9.621	15.750
1423640755228	37.540342	139.944635	13	-0.662	0.167	9.550	15.750
1423640755329	37.540356	139.944638	13	-0.760	0.392	9.575	15.750
1423640755429	37.540369	139.944641	13	-0.796	0.297	9.052	15.750
1423640755525	37.540381	139.944643	13	-0.743	0.383	8.510	15.750
1423640755626	37.540395	139.944646	13	-0.590	0.308	9.076	15.750
1423640755726	37.540408	139.944649	13	-0.353	-0.195	9.887	15.750
1423640755827	37.540421	139.944652	13	-0.222	-0.261	10.420	15.750
1423640755928	37.540435	139.944655	13	-0.072	-0.122	10.080	15.750
1423640756029	37.540448	139.944657	13	-0.075	0.209	9.296	15.750
1423640756129	37.540461	139.944660	12	-0.161	0.353	9.178	15.748
1423640756225	37.540475	139.944663	12	-0.294	0.181	9.532	15.724
1423640756326	37.540489	139.944665	12	-0.351	0.099	9.526	15.698
1423640756426	37.540503	139.944668	12	-0.313	0.141	9.627	15.673
1423640756527	37.540517	139.944671	12	-0.295	0.201	9.471	15.648
1423640756628	37.540531	139.944673	12	-0.280	0.209	9.443	15.623
1423640756729	37.540545	139.944676	12	-0.240	0.235	9.403	15.597
1423640756829	37.540559	139.944678	12	-0.276	0.162	9.282	15.572
1423640756925	37.540572	139.944681	12	-0.342	0.180	9.263	15.548
1423640757026	37.540586	139.944684	12	-0.404	0.229	9.264	15.523
1423640757126	37.540600	139.944686	12	-0.442	0.213	9.411	15.500
1423640757227	37.540615	139.944688	12	-0.464	0.147	9.510	15.500
1423640757328	37.540629	139.944691	12	-0.475	0.202	9.664	15.500
1423640757428	37.540644	139.944693	12	-0.516	0.288	9.538	15.500
1423640757529	37.540659	139.944695	12	-0.580	0.410	9.153	15.500
1423640757625	37.540673	139.944698	12	-0.628	0.433	9.156	15.500
1423640757725	37.540687	139.944700	12	-0.663	0.370	9.425	15.500
1423640757826	37.540702	139.944702	12	-0.592	0.234	9.628	15.500
1423640757927	37.540717	139.944705	12	-0.556	0.277	9.495	15.500
