u,v,freq
4586512367,1833407962,55.0
1833407962,5695790877,173.5
5695790877,1722798401,303.0
1722798401,1722792885,304.0
1722792885,1722792895,327.5
1722792895,1722792893,1012.5
1722792893,1722798399,1204.0
1722798399,1722794766,1809.5
1722794766,1722770112,1851.0
1722770112,1722792906,2040.5
1722792906,1722794759,2061.5
1722794759,1724159455,2445.0
1724159455,2411598005,2542.0
2411598005,1722400976,3181.0
1722400976,1722403333,3999.5
1833718124,1833718112,71.0
1833718112,1833718132,472.0
1833718132,3920624654,560.5
3920624654,4380084809,560.5
4380084809,4380084810,563.5
4380084810,1833419234,587.0
1833419234,1833407970,590.0
1833407970,4579383797,594.0
4579383797,1833419219,622.0
1833419219,1833407959,709.5
1833407959,1833419334,935.5
1833419334,1833408005,991.0
1833408005,1833408021,1000.0
1833408021,1833408006,1006.0
1833408006,1833408034,1007.0
1833408034,1833407974,1388.0
1833407974,1833408031,1502.5
1833408031,1833407969,1584.5
1833407969,1833407978,1662.0
1833407978,1833407979,1711.0
1833407979,1833407995,1755.5
1833407995,1833407981,2069.5
1833407981,1833408000,2069.5
1833408000,4397031896,3721.0
3456547520,1834353874,224.5
1834353874,1833551667,492.5
1833551667,1834353886,499.5
1834353886,1834011893,1994.5
1834011893,1834353920,2312.0
1834353920,1834353902,5090.5
1834302678,1834302623,22.0
1834302623,1834302596,46.0
1834302596,1834302670,78.5
1834302670,1834302561,84.5
1834302561,1834302647,95.5
1834302647,1834302498,153.5
1834302498,1834302565,182.0
1834302565,1834302577,298.5
1834302577,1834093740,490.0
1834093740,1834093822,515.0
1834093822,1834315821,576.0
1834315821,1834093791,603.5
1834093791,1834003845,918.0
1834003845,668899893,1266.5
668899893,1834353875,1408.5
1834353875,1834353909,1415.5
1834353909,1834353886,1477.0
5581688888,1834093827,10.0
1834093827,1834093787,10.0
1834093787,1834093825,32.5
1834093825,1834093817,57.0
1834093817,1834093829,67.0
1834093829,1834093793,77.0
1834093793,1834302682,179.5
1834302682,1834302507,222.5
1834302507,1834302568,408.0
1834302568,1834302655,408.0
1834302655,1834011903,410.0
1834011903,3456547523,414.0
3456547523,1833721704,442.5
1833721704,1834328374,1618.5
1834328374,1834328392,1642.0
1834328392,1834328351,2061.0
1834328351,1834328380,2186.0
1834328380,1834302520,2225.5
1834302520,1833559004,2321.0
1833559004,1833558992,2516.0
1833558992,1834353918,2564.0
1834353918,1833558991,2630.5
1833558991,1834353920,2662.0
1834315939,1834315929,70.5
